fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.6,0.83,1.02,Ing Ricardo,En reposo
25/11/2025,1.57,0.84,1.43,Ing Ricardo,En reposo
25/11/2025,1.56,0.83,1.84,Ing Ricardo,En reposo
25/11/2025,1.57,0.82,2.56,Ing Ricardo,En reposo
25/11/2025,1.58,0.81,3.06,Ing Ricardo,En reposo
25/11/2025,1.57,0.82,3.68,Ing Ricardo,En reposo
25/11/2025,1.6,0.83,3.89,Ing Ricardo,En reposo
25/11/2025,1.58,0.84,4.46,Ing Ricardo,En reposo
25/11/2025,1.56,0.83,5.01,Ing Ricardo,En reposo
25/11/2025,1.56,0.81,5.33,Ing Ricardo,En reposo
25/11/2025,1.57,0.81,5.94,Ing Ricardo,En reposo
25/11/2025,1.55,0.82,6.34,Ing Ricardo,En reposo
25/11/2025,1.56,0.9,7.00,Ing Ricardo,En reposo
25/11/2025,1.58,1.25,7.42,Ing Ricardo,En uso
25/11/2025,1.57,1.66,7.98,Ing Ricardo,En reposo
25/11/2025,1.59,2.03,8.50,Ing Ricardo,En uso
25/11/2025,1.56,2.29,9.00,Ing Ricardo,En reposo
25/11/2025,1.59,2.49,9.42,Ing Ricardo,En uso
25/11/2025,1.56,2.63,9.93,Ing Ricardo,En reposo
25/11/2025,1.58,2.76,10.44,Ing Ricardo,En uso
25/11/2025,1.54,2.87,10.95,Ing Ricardo,En reposo
25/11/2025,1.56,2.96,11.37,Ing Ricardo,En uso
25/11/2025,1.57,3.04,11.97,Ing Ricardo,En reposo
25/11/2025,1.54,3.11,12.48,Ing Ricardo,En uso
25/11/2025,1.59,3.16,12.89,Ing Ricardo,En reposo
25/11/2025,1.62,3.2,13.51,Ing Ricardo,En uso
25/11/2025,1.57,3.23,13.99,Ing Ricardo,En reposo
25/11/2025,1.55,3.27,14.43,Ing Ricardo,En uso
25/11/2025,1.54,3.31,14.94,Ing Ricardo,En reposo
25/11/2025,1.61,3.34,15.35,Ing Ricardo,En uso
25/11/2025,1.54,3.37,15.97,Ing Ricardo,En reposo
25/11/2025,1.59,3.4,16.38,Ing Ricardo,En uso
25/11/2025,1.58,3.41,17.09,Ing Ricardo,En reposo
25/11/2025,1.54,3.26,17.60,Ing Ricardo,En uso
25/11/2025,1.57,2.93,18.02,Ing Ricardo,En reposo
25/11/2025,1.59,2.41,18.36,Ing Ricardo,En uso
25/11/2025,1.61,1.87,18.94,Ing Ricardo,En reposo
25/11/2025,1.57,1.49,19.55,Ing Ricardo,En uso
25/11/2025,1.59,1.23,20.17,Ing Ricardo,En reposo
25/11/2025,1.61,1.04,20.38,Ing Ricardo,En uso
25/11/2025,1.61,0.91,20.98,Ing Ricardo,En reposo
25/11/2025,1.6,0.82,21.39,Ing Ricardo,En uso
25/11/2025,1.6,0.75,21.91,Ing Ricardo,En reposo
25/11/2025,1.62,0.7,22.52,Ing Ricardo,En reposo
25/11/2025,1.65,0.66,22.93,Ing Ricardo,En reposo
25/11/2025,1.71,0.64,23.44,Ing Ricardo,En reposo
25/11/2025,1.63,0.74,23.95,Ing Ricardo,En reposo
25/11/2025,1.75,0.85,24.57,Ing Ricardo,En reposo
25/11/2025,1.67,0.98,24.98,Ing Ricardo,En uso
25/11/2025,1.59,1.13,25.49,Ing Ricardo,En reposo
25/11/2025,1.58,1.3,25.90,Ing Ricardo,En uso
25/11/2025,1.63,1.49,26.52,Ing Ricardo,En reposo
25/11/2025,1.65,1.71,26.92,Ing Ricardo,En uso
25/11/2025,1.57,2.56,27.60,Ing Ricardo,En reposo
25/11/2025,1.51,3.15,27.86,Ing Ricardo,En uso
25/11/2025,1.58,3.57,28.40,Ing Ricardo,En uso
25/11/2025,1.64,3.86,28.86,Ing Ricardo,En uso
25/11/2025,1.63,4.08,29.29,Ing Ricardo,En reposo
25/11/2025,1.61,4.26,29.79,Ing Ricardo,En uso
25/11/2025,1.57,4.39,30.30,Ing Ricardo,En reposo
25/11/2025,1.53,4.5,30.82,Ing Ricardo,En uso
25/11/2025,1.54,4.58,31.53,Ing Ricardo,En reposo
25/11/2025,1.59,4.65,31.89,Ing Ricardo,En uso
25/11/2025,1.58,4.71,32.45,Ing Ricardo,En reposo
25/11/2025,1.57,4.76,32.97,Ing Ricardo,En uso
25/11/2025,1.64,4.79,33.48,Ing Ricardo,En reposo
25/11/2025,1.58,4.41,33.99,Ing Ricardo,En uso
25/11/2025,1.54,3.53,34.40,Ing Ricardo,En reposo
25/11/2025,1.59,2.86,35.11,Ing Ricardo,En uso
25/11/2025,1.65,2.39,35.42,Ing Ricardo,En reposo
25/11/2025,1.6,2.06,35.94,Ing Ricardo,En uso
25/11/2025,1.57,1.82,36.45,Ing Ricardo,En reposo
25/11/2025,1.57,1.65,36.96,Ing Ricardo,En uso
25/11/2025,1.53,1.53,37.49,Ing Ricardo,En reposo
25/11/2025,1.54,1.45,38.19,Ing Ricardo,En uso
25/11/2025,1.65,1.31,38.40,Ing Ricardo,En reposo
25/11/2025,1.65,1.15,39.01,Ing Ricardo,En uso
25/11/2025,1.67,1.04,39.42,Ing Ricardo,En reposo
25/11/2025,1.6,0.97,40.13,Ing Ricardo,En uso
25/11/2025,1.57,1.27,40.61,Ing Ricardo,En reposo
25/11/2025,1.6,1.77,40.95,Ing Ricardo,En uso
25/11/2025,1.57,2.3,41.47,Ing Ricardo,En reposo
25/11/2025,1.58,2.74,41.89,Ing Ricardo,En uso
25/11/2025,1.59,3.05,42.59,Ing Ricardo,En reposo
25/11/2025,1.6,3.32,43.15,Ing Ricardo,En uso
25/11/2025,1.62,3.54,43.72,Ing Ricardo,En reposo
25/11/2025,1.5,3.73,43.93,Ing Ricardo,En uso
25/11/2025,1.52,3.94,44.43,Ing Ricardo,En reposo
25/11/2025,1.58,4.11,45.36,Ing Ricardo,En uso
25/11/2025,1.6,4.26,45.37,Ing Ricardo,En reposo
25/11/2025,1.56,4.39,45.97,Ing Ricardo,En uso
25/11/2025,1.6,4.51,46.38,Ing Ricardo,En reposo
25/11/2025,1.59,4.6,46.90,Ing Ricardo,En uso
25/11/2025,1.63,4.69,47.61,Ing Ricardo,En reposo
25/11/2025,1.56,4.77,48.02,Ing Ricardo,En uso
25/11/2025,1.61,4.83,48.74,Ing Ricardo,En reposo
25/11/2025,1.6,4.87,49.25,Ing Ricardo,En uso
25/11/2025,1.56,4.9,49.77,Ing Ricardo,En reposo
25/11/2025,1.53,4.92,50.37,Ing Ricardo,En uso
25/11/2025,1.6,4.83,50.74,Ing Ricardo,En reposo
25/11/2025,1.56,4.54,51.60,Ing Ricardo,En uso
25/11/2025,1.61,4.03,51.80,Ing Ricardo,En reposo
25/11/2025,1.62,3.4,52.42,Ing Ricardo,En uso
25/11/2025,1.63,2.81,52.83,Ing Ricardo,En reposo
25/11/2025,1.57,2.39,53.55,Ing Ricardo,En uso
25/11/2025,1.52,2.1,53.75,Ing Ricardo,En reposo
25/11/2025,1.59,1.9,54.26,Ing Ricardo,En uso
25/11/2025,1.57,1.73,54.77,Ing Ricardo,En reposo
25/11/2025,1.65,1.62,55.19,Ing Ricardo,En uso
25/11/2025,1.55,1.54,55.80,Ing Ricardo,En reposo
25/11/2025,1.57,1.5,56.21,Ing Ricardo,En uso
25/11/2025,1.54,1.49,56.82,Ing Ricardo,En reposo
25/11/2025,1.59,1.47,57.23,Ing Ricardo,En uso
25/11/2025,1.66,1.46,57.74,Ing Ricardo,En reposo
25/11/2025,1.67,1.45,58.26,Ing Ricardo,En uso
25/11/2025,1.58,1.43,58.77,Ing Ricardo,En reposo
25/11/2025,1.61,1.42,59.28,Ing Ricardo,En uso
25/11/2025,1.56,1.23,59.79,Ing Ricardo,En reposo
25/11/2025,1.6,1.06,60.31,Ing Ricardo,En uso
25/11/2025,1.65,0.9,60.92,Ing Ricardo,En reposo
25/11/2025,1.65,0.79,61.33,Ing Ricardo,En reposo
25/11/2025,1.58,0.71,61.84,Ing Ricardo,En reposo
25/11/2025,1.58,0.66,62.25,Ing Ricardo,En reposo
25/11/2025,1.53,0.62,62.76,Ing Ricardo,En reposo
25/11/2025,1.61,0.6,63.27,Ing Ricardo,En reposo
25/11/2025,1.65,0.59,63.78,Ing Ricardo,En reposo
25/11/2025,1.57,0.59,64.50,Ing Ricardo,En reposo
25/11/2025,1.63,0.59,64.81,Ing Ricardo,En reposo
25/11/2025,1.63,0.6,65.33,Ing Ricardo,En reposo
25/11/2025,1.5,0.61,65.94,Ing Ricardo,En reposo
25/11/2025,1.53,0.61,66.24,Ing Ricardo,En reposo
25/11/2025,1.57,0.61,66.76,Ing Ricardo,En reposo
25/11/2025,1.63,0.62,67.27,Ing Ricardo,En reposo
25/11/2025,1.59,0.63,67.78,Ing Ricardo,En reposo
25/11/2025,1.58,0.64,68.30,Ing Ricardo,En reposo
25/11/2025,1.56,0.65,68.80,Ing Ricardo,En reposo
25/11/2025,1.55,0.65,69.31,Ing Ricardo,En reposo
25/11/2025,1.61,0.66,69.72,Ing Ricardo,En reposo
25/11/2025,1.6,0.67,70.34,Ing Ricardo,En reposo
25/11/2025,1.56,0.67,70.85,Ing Ricardo,En reposo
25/11/2025,1.61,0.67,71.26,Ing Ricardo,En reposo
25/11/2025,1.57,0.68,71.87,Ing Ricardo,En reposo
25/11/2025,1.57,0.69,72.28,Ing Ricardo,En reposo
25/11/2025,1.62,0.7,72.90,Ing Ricardo,En reposo
25/11/2025,1.56,0.71,73.61,Ing Ricardo,En reposo
25/11/2025,1.54,0.72,73.82,Ing Ricardo,En reposo
25/11/2025,1.5,0.73,74.25,Ing Ricardo,En reposo
25/11/2025,1.62,0.78,74.74,Ing Ricardo,En reposo
25/11/2025,1.51,0.81,75.26,Ing Ricardo,En reposo
25/11/2025,1.63,0.83,75.77,Ing Ricardo,En reposo
25/11/2025,1.52,0.85,76.28,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,76.89,Ing Ricardo,En uso
25/11/2025,1.54,0.88,77.30,Ing Ricardo,En reposo
25/11/2025,1.63,0.89,77.81,Ing Ricardo,En uso
25/11/2025,1.6,0.95,78.33,Ing Ricardo,En reposo
25/11/2025,1.63,1.02,79.14,Ing Ricardo,En uso
25/11/2025,1.62,1.07,79.35,Ing Ricardo,En reposo
25/11/2025,1.51,1.1,79.77,Ing Ricardo,En uso
25/11/2025,1.54,1.14,80.27,Ing Ricardo,En reposo
25/11/2025,1.61,1.16,80.79,Ing Ricardo,En uso
25/11/2025,1.6,1.17,81.29,Ing Ricardo,En reposo
25/11/2025,1.62,1.18,81.81,Ing Ricardo,En uso
25/11/2025,1.61,1.18,82.32,Ing Ricardo,En reposo
25/11/2025,1.59,1.18,83.11,Ing Ricardo,En uso
25/11/2025,1.57,1.19,83.35,Ing Ricardo,En reposo
25/11/2025,1.54,1.2,83.75,Ing Ricardo,En uso
25/11/2025,1.62,1.33,84.28,Ing Ricardo,En reposo
25/11/2025,1.59,1.71,84.78,Ing Ricardo,En uso
25/11/2025,1.65,2.23,85.28,Ing Ricardo,En reposo
25/11/2025,1.55,2.81,85.90,Ing Ricardo,En uso
25/11/2025,1.52,3.4,86.31,Ing Ricardo,En reposo
25/11/2025,1.59,3.97,86.82,Ing Ricardo,En uso
25/11/2025,1.58,4.49,87.27,Ing Ricardo,En reposo
25/11/2025,1.64,4.97,87.75,Ing Ricardo,En uso
25/11/2025,1.58,5.39,88.38,Ing Ricardo,En reposo
25/11/2025,1.58,5.77,88.77,Ing Ricardo,En uso
