fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.57,0.63,0.63,Ing Ricardo,En reposo
25/11/2025,1.6,0.66,0.92,Ing Ricardo,En reposo
25/11/2025,1.59,0.68,1.34,Ing Ricardo,En reposo
25/11/2025,1.57,0.71,1.95,Ing Ricardo,En reposo
25/11/2025,1.57,0.7,2.35,Ing Ricardo,En reposo
25/11/2025,1.56,0.69,2.87,Ing Ricardo,En reposo
25/11/2025,1.56,0.69,3.35,Ing Ricardo,En reposo
25/11/2025,1.57,0.69,4.11,Ing Ricardo,En reposo
25/11/2025,1.59,0.72,4.51,Ing Ricardo,En reposo
25/11/2025,1.59,0.75,4.92,Ing Ricardo,En reposo
25/11/2025,1.56,0.77,5.54,Ing Ricardo,En reposo
25/11/2025,1.59,0.79,5.94,Ing Ricardo,En reposo
25/11/2025,1.55,0.81,6.35,Ing Ricardo,En reposo
25/11/2025,1.59,0.82,6.87,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,7.28,Ing Ricardo,En reposo
25/11/2025,1.57,0.88,7.89,Ing Ricardo,En reposo
25/11/2025,1.57,0.9,8.60,Ing Ricardo,En reposo
25/11/2025,1.61,0.92,9.01,Ing Ricardo,En reposo
25/11/2025,1.61,0.91,9.43,Ing Ricardo,En reposo
25/11/2025,1.57,0.91,9.83,Ing Ricardo,En reposo
25/11/2025,1.56,0.9,10.35,Ing Ricardo,En reposo
25/11/2025,1.57,0.87,10.87,Ing Ricardo,En reposo
25/11/2025,1.57,0.85,11.58,Ing Ricardo,En reposo
25/11/2025,1.59,0.81,11.94,Ing Ricardo,En reposo
25/11/2025,1.6,0.72,12.70,Ing Ricardo,En reposo
25/11/2025,1.56,0.76,13.51,Ing Ricardo,En reposo
25/11/2025,1.57,0.79,14.02,Ing Ricardo,En reposo
25/11/2025,1.57,0.8,14.53,Ing Ricardo,En reposo
25/11/2025,1.57,0.78,14.94,Ing Ricardo,En reposo
25/11/2025,1.56,0.82,15.35,Ing Ricardo,En reposo
25/11/2025,1.56,0.85,15.86,Ing Ricardo,En reposo
25/11/2025,1.57,0.87,16.38,Ing Ricardo,En reposo
25/11/2025,1.55,0.91,16.78,Ing Ricardo,En reposo
25/11/2025,1.62,0.95,17.30,Ing Ricardo,En reposo
25/11/2025,1.57,1,17.81,Ing Ricardo,En reposo
25/11/2025,1.62,1.09,18.52,Ing Ricardo,En reposo
25/11/2025,1.63,1.16,18.84,Ing Ricardo,En reposo
25/11/2025,1.53,1.21,19.45,Ing Ricardo,En reposo
25/11/2025,1.57,1.25,19.86,Ing Ricardo,En reposo
25/11/2025,1.6,1.29,20.37,Ing Ricardo,En reposo
25/11/2025,1.66,1.33,20.87,Ing Ricardo,En reposo
25/11/2025,1.64,1.35,21.29,Ing Ricardo,En reposo
25/11/2025,1.58,1.37,21.90,Ing Ricardo,En reposo
25/11/2025,1.62,1.39,22.42,Ing Ricardo,En reposo
25/11/2025,1.62,1.38,22.82,Ing Ricardo,En reposo
25/11/2025,1.63,1.27,23.34,Ing Ricardo,En reposo
25/11/2025,1.55,1.18,23.85,Ing Ricardo,En reposo
25/11/2025,1.58,1.13,24.36,Ing Ricardo,En reposo
25/11/2025,1.57,1.04,24.98,Ing Ricardo,En reposo
25/11/2025,1.62,0.97,25.40,Ing Ricardo,En reposo
25/11/2025,1.54,0.93,26.20,Ing Ricardo,En reposo
25/11/2025,1.57,0.9,26.42,Ing Ricardo,En reposo
25/11/2025,1.57,0.88,26.82,Ing Ricardo,En reposo
25/11/2025,1.62,0.86,27.43,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,27.94,Ing Ricardo,En reposo
25/11/2025,1.53,0.84,28.56,Ing Ricardo,En reposo
25/11/2025,1.58,0.83,29.07,Ing Ricardo,En reposo
25/11/2025,1.61,0.83,29.38,Ing Ricardo,En reposo
25/11/2025,1.58,0.82,29.88,Ing Ricardo,En reposo
25/11/2025,1.61,0.82,30.51,Ing Ricardo,En reposo
25/11/2025,1.59,0.84,30.91,Ing Ricardo,En reposo
25/11/2025,1.58,0.86,31.32,Ing Ricardo,En reposo
25/11/2025,1.54,0.88,31.84,Ing Ricardo,En reposo
25/11/2025,1.56,0.89,32.35,Ing Ricardo,En reposo
25/11/2025,1.62,0.88,32.86,Ing Ricardo,En reposo
25/11/2025,1.59,0.88,33.37,Ing Ricardo,En reposo
25/11/2025,1.57,0.87,33.79,Ing Ricardo,En reposo
25/11/2025,1.52,0.85,34.38,Ing Ricardo,En reposo
25/11/2025,1.57,0.84,34.91,Ing Ricardo,En reposo
25/11/2025,1.57,0.85,35.42,Ing Ricardo,En reposo
25/11/2025,1.62,0.83,35.83,Ing Ricardo,En reposo
25/11/2025,1.63,0.82,36.29,Ing Ricardo,En reposo
25/11/2025,1.56,0.82,36.85,Ing Ricardo,En reposo
25/11/2025,1.64,0.82,37.28,Ing Ricardo,En reposo
25/11/2025,1.55,0.81,37.99,Ing Ricardo,En reposo
25/11/2025,1.52,0.8,38.60,Ing Ricardo,En reposo
25/11/2025,1.62,0.8,39.04,Ing Ricardo,En reposo
25/11/2025,1.65,0.79,39.52,Ing Ricardo,En reposo
25/11/2025,1.66,0.77,39.97,Ing Ricardo,En reposo
25/11/2025,1.6,0.76,40.61,Ing Ricardo,En reposo
25/11/2025,1.51,0.72,40.85,Ing Ricardo,En reposo
25/11/2025,1.55,0.7,41.48,Ing Ricardo,En reposo
25/11/2025,1.57,0.67,41.81,Ing Ricardo,En reposo
25/11/2025,1.6,0.65,42.38,Ing Ricardo,En reposo
25/11/2025,1.59,0.64,42.90,Ing Ricardo,En reposo
25/11/2025,1.51,0.63,43.41,Ing Ricardo,En reposo
25/11/2025,1.59,0.63,44.03,Ing Ricardo,En reposo
25/11/2025,1.54,0.63,44.43,Ing Ricardo,En reposo
25/11/2025,1.55,0.63,45.05,Ing Ricardo,En reposo
25/11/2025,1.58,0.6,45.76,Ing Ricardo,En reposo
25/11/2025,1.59,0.56,45.97,Ing Ricardo,En reposo
25/11/2025,1.63,0.53,46.68,Ing Ricardo,En reposo
25/11/2025,1.54,0.51,47.00,Ing Ricardo,En reposo
25/11/2025,1.51,0.51,47.41,Ing Ricardo,En reposo
25/11/2025,1.54,0.54,47.91,Ing Ricardo,En reposo
25/11/2025,1.57,0.55,48.43,Ing Ricardo,En reposo
25/11/2025,1.62,0.58,49.04,Ing Ricardo,En reposo
25/11/2025,1.57,0.81,49.45,Ing Ricardo,En reposo
25/11/2025,1.58,0.97,50.06,Ing Ricardo,En reposo
25/11/2025,1.59,1.08,50.68,Ing Ricardo,En reposo
25/11/2025,1.59,1.16,50.98,Ing Ricardo,En reposo
25/11/2025,1.61,1.69,51.40,Ing Ricardo,En reposo
25/11/2025,1.53,2.07,51.91,Ing Ricardo,En reposo
25/11/2025,1.57,2.33,52.32,Ing Ricardo,En reposo
25/11/2025,1.6,2.51,53.03,Ing Ricardo,En reposo
25/11/2025,1.51,2.84,53.44,Ing Ricardo,En reposo
25/11/2025,1.54,3.06,53.97,Ing Ricardo,En reposo
25/11/2025,1.45,3.21,54.37,Ing Ricardo,En reposo
25/11/2025,1.57,3.32,54.88,Ing Ricardo,En reposo
25/11/2025,1.64,3.6,55.39,Ing Ricardo,En reposo
25/11/2025,1.6,3.79,55.80,Ing Ricardo,En reposo
25/11/2025,1.64,3.92,56.42,Ing Ricardo,En reposo
25/11/2025,1.61,4.11,57.13,Ing Ricardo,En reposo
25/11/2025,1.56,4.22,57.64,Ing Ricardo,En reposo
25/11/2025,1.6,4.31,58.16,Ing Ricardo,En reposo
25/11/2025,1.55,4.37,58.57,Ing Ricardo,En reposo
25/11/2025,1.62,4.45,59.08,Ing Ricardo,En reposo
25/11/2025,1.59,4.52,59.59,Ing Ricardo,En reposo
25/11/2025,1.61,4.56,60.20,Ing Ricardo,En reposo
25/11/2025,1.52,4.57,60.62,Ing Ricardo,En reposo
25/11/2025,1.55,4.62,61.12,Ing Ricardo,En reposo
25/11/2025,1.57,4.56,61.63,Ing Ricardo,En reposo
25/11/2025,1.62,4.51,62.09,Ing Ricardo,En reposo
25/11/2025,1.6,4.48,62.58,Ing Ricardo,En reposo
25/11/2025,1.64,4.57,63.10,Ing Ricardo,En reposo
25/11/2025,1.57,4.58,63.82,Ing Ricardo,En reposo
25/11/2025,1.56,4.6,64.42,Ing Ricardo,En reposo
25/11/2025,1.55,4.61,64.83,Ing Ricardo,En reposo
25/11/2025,1.61,4.68,65.43,Ing Ricardo,En reposo
25/11/2025,1.55,4.67,65.84,Ing Ricardo,En reposo
25/11/2025,1.58,4.69,66.35,Ing Ricardo,En reposo
25/11/2025,1.53,4.7,66.86,Ing Ricardo,En reposo
25/11/2025,1.57,4.79,67.38,Ing Ricardo,En reposo
25/11/2025,1.5,4.87,68.11,Ing Ricardo,En reposo
25/11/2025,1.59,4.92,68.60,Ing Ricardo,En reposo
25/11/2025,1.63,5.02,69.06,Ing Ricardo,En reposo
25/11/2025,1.67,5.06,69.60,Ing Ricardo,En reposo
25/11/2025,1.61,5.09,70.10,Ing Ricardo,En reposo
25/11/2025,1.54,5.12,71.01,Ing Ricardo,En reposo
25/11/2025,1.58,5.13,71.49,Ing Ricardo,En reposo
25/11/2025,1.58,5.09,71.99,Ing Ricardo,En reposo
25/11/2025,1.59,5.07,72.50,Ing Ricardo,En reposo
25/11/2025,1.55,5.05,73.00,Ing Ricardo,En reposo
25/11/2025,1.5,5.04,75.64,Ing Ricardo,En reposo
25/11/2025,1.52,4.86,75.87,Ing Ricardo,En reposo
25/11/2025,1.65,4.35,75.90,Ing Ricardo,En reposo
25/11/2025,1.69,4.19,77.00,Ing Ricardo,En reposo
25/11/2025,1.61,4.08,77.41,Ing Ricardo,En uso
25/11/2025,1.66,4,77.85,Ing Ricardo,En uso
25/11/2025,1.57,3.61,78.28,Ing Ricardo,En uso
25/11/2025,1.61,3.34,78.84,Ing Ricardo,En uso
25/11/2025,1.58,3.15,79.33,Ing Ricardo,En reposo
25/11/2025,1.62,2.58,79.86,Ing Ricardo,En reposo
