fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.57,0.81,1.11,Ing Ricardo,En reposo
25/11/2025,1.6,0.79,1.63,Ing Ricardo,En reposo
25/11/2025,1.57,0.79,2.04,Ing Ricardo,En reposo
25/11/2025,1.59,0.91,2.65,Ing Ricardo,En reposo
25/11/2025,1.58,1.07,3.27,Ing Ricardo,En reposo
25/11/2025,1.58,1.17,3.47,Ing Ricardo,En reposo
25/11/2025,1.61,1.26,3.98,Ing Ricardo,En reposo
25/11/2025,1.55,1.34,4.49,Ing Ricardo,En reposo
25/11/2025,1.57,1.4,5.01,Ing Ricardo,En reposo
25/11/2025,1.56,1.49,5.72,Ing Ricardo,En reposo
25/11/2025,1.61,1.56,6.03,Ing Ricardo,En reposo
25/11/2025,1.6,1.64,6.54,Ing Ricardo,En reposo
25/11/2025,1.61,1.71,6.95,Ing Ricardo,En reposo
25/11/2025,1.6,1.77,7.46,Ing Ricardo,En reposo
25/11/2025,1.61,1.81,8.08,Ing Ricardo,En reposo
25/11/2025,1.6,1.84,8.69,Ing Ricardo,En reposo
25/11/2025,1.56,1.86,9.20,Ing Ricardo,En reposo
25/11/2025,1.6,1.88,9.92,Ing Ricardo,En reposo
25/11/2025,1.6,1.89,10.23,Ing Ricardo,En reposo
25/11/2025,1.56,1.9,10.64,Ing Ricardo,En reposo
25/11/2025,1.55,1.91,11.15,Ing Ricardo,En reposo
25/11/2025,1.51,1.92,11.66,Ing Ricardo,En reposo
25/11/2025,1.57,1.93,12.17,Ing Ricardo,En reposo
25/11/2025,1.56,1.89,12.68,Ing Ricardo,En reposo
25/11/2025,1.57,1.78,13.10,Ing Ricardo,En reposo
25/11/2025,1.55,1.71,13.91,Ing Ricardo,En reposo
25/11/2025,1.58,1.65,14.12,Ing Ricardo,En reposo
25/11/2025,1.59,1.59,14.53,Ing Ricardo,En reposo
25/11/2025,1.62,1.5,15.25,Ing Ricardo,En reposo
25/11/2025,1.55,1.25,15.55,Ing Ricardo,En reposo
25/11/2025,1.57,1.08,15.96,Ing Ricardo,En reposo
25/11/2025,1.53,0.97,16.58,Ing Ricardo,En reposo
25/11/2025,1.58,0.93,17.09,Ing Ricardo,En reposo
25/11/2025,1.62,0.92,17.81,Ing Ricardo,En reposo
25/11/2025,1.61,0.91,18.32,Ing Ricardo,En reposo
25/11/2025,1.61,0.9,18.52,Ing Ricardo,En reposo
25/11/2025,1.63,0.88,18.93,Ing Ricardo,En reposo
25/11/2025,1.58,0.86,19.45,Ing Ricardo,En reposo
25/11/2025,1.58,0.84,19.96,Ing Ricardo,En reposo
25/11/2025,1.52,0.82,20.46,Ing Ricardo,En reposo
25/11/2025,1.62,0.81,21.08,Ing Ricardo,En reposo
25/11/2025,1.61,0.78,21.49,Ing Ricardo,En reposo
25/11/2025,1.58,0.79,22.21,Ing Ricardo,En reposo
25/11/2025,1.56,0.82,22.52,Ing Ricardo,En reposo
25/11/2025,1.51,0.84,23.03,Ing Ricardo,En reposo
25/11/2025,1.53,0.85,23.44,Ing Ricardo,En reposo
25/11/2025,1.63,0.89,24.36,Ing Ricardo,En reposo
25/11/2025,1.59,0.95,24.57,Ing Ricardo,En reposo
25/11/2025,1.56,1.07,25.52,Ing Ricardo,En reposo
25/11/2025,1.61,1.17,25.54,Ing Ricardo,En reposo
25/11/2025,1.55,1.27,26.30,Ing Ricardo,En reposo
25/11/2025,1.61,1.38,26.41,Ing Ricardo,En reposo
25/11/2025,1.56,1.44,27.02,Ing Ricardo,En reposo
25/11/2025,1.68,1.46,27.43,Ing Ricardo,En reposo
25/11/2025,1.65,1.47,27.95,Ing Ricardo,En reposo
25/11/2025,1.64,1.47,29.17,Ing Ricardo,En reposo
25/11/2025,1.62,1.47,29.19,Ing Ricardo,En reposo
25/11/2025,1.6,1.48,29.48,Ing Ricardo,En reposo
25/11/2025,1.53,1.49,30.19,Ing Ricardo,En reposo
25/11/2025,1.51,1.46,30.50,Ing Ricardo,En reposo
25/11/2025,1.59,1.43,31.01,Ing Ricardo,En reposo
25/11/2025,1.59,1.4,31.42,Ing Ricardo,En reposo
25/11/2025,1.66,1.29,32.24,Ing Ricardo,En reposo
25/11/2025,1.63,1.21,32.75,Ing Ricardo,En reposo
25/11/2025,1.65,1.11,33.06,Ing Ricardo,En reposo
25/11/2025,1.57,1,33.47,Ing Ricardo,En reposo
25/11/2025,1.58,0.93,33.93,Ing Ricardo,En reposo
25/11/2025,1.58,0.88,34.50,Ing Ricardo,En reposo
25/11/2025,1.64,0.81,35.10,Ing Ricardo,En reposo
25/11/2025,1.67,0.77,35.52,Ing Ricardo,En reposo
25/11/2025,1.61,0.72,36.03,Ing Ricardo,En reposo
25/11/2025,1.59,0.68,36.54,Ing Ricardo,En reposo
25/11/2025,1.55,0.67,37.15,Ing Ricardo,En reposo
25/11/2025,1.59,0.67,37.47,Ing Ricardo,En reposo
25/11/2025,1.54,0.71,37.98,Ing Ricardo,En reposo
25/11/2025,1.51,0.74,38.59,Ing Ricardo,En reposo
25/11/2025,1.62,0.77,39.00,Ing Ricardo,En reposo
25/11/2025,1.58,0.78,39.61,Ing Ricardo,En reposo
25/11/2025,1.58,0.98,40.03,Ing Ricardo,En reposo
25/11/2025,1.59,1.12,40.52,Ing Ricardo,En reposo
25/11/2025,1.58,1.2,40.95,Ing Ricardo,En reposo
25/11/2025,1.62,1.27,41.46,Ing Ricardo,En reposo
25/11/2025,1.64,1.52,41.97,Ing Ricardo,En reposo
25/11/2025,1.56,1.69,42.58,Ing Ricardo,En reposo
25/11/2025,1.66,1.81,43.20,Ing Ricardo,En reposo
25/11/2025,1.55,1.9,43.61,Ing Ricardo,En reposo
25/11/2025,1.5,2.05,43.91,Ing Ricardo,En reposo
25/11/2025,1.49,2.26,44.45,Ing Ricardo,En reposo
25/11/2025,1.55,2.41,45.15,Ing Ricardo,En reposo
25/11/2025,1.62,2.51,45.55,Ing Ricardo,En reposo
25/11/2025,1.64,2.58,46.20,Ing Ricardo,En reposo
25/11/2025,1.64,2.76,46.58,Ing Ricardo,En reposo
25/11/2025,1.62,2.93,47.09,Ing Ricardo,En reposo
25/11/2025,1.57,3.06,47.42,Ing Ricardo,En reposo
25/11/2025,1.57,3.2,48.01,Ing Ricardo,En reposo
25/11/2025,1.58,3.29,48.50,Ing Ricardo,En reposo
25/11/2025,1.59,3.34,49.03,Ing Ricardo,En reposo
25/11/2025,1.67,3.37,49.55,Ing Ricardo,En reposo
25/11/2025,1.6,3.44,50.16,Ing Ricardo,En reposo
25/11/2025,1.6,3.54,50.68,Ing Ricardo,En reposo
