fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.57,0.58,0.92,Ing Ricardo,En reposo
25/11/2025,1.6,0.58,1.24,Ing Ricardo,En reposo
25/11/2025,1.56,0.56,1.71,Ing Ricardo,En reposo
25/11/2025,1.58,0.55,2.06,Ing Ricardo,En reposo
25/11/2025,1.56,0.55,2.88,Ing Ricardo,En reposo
25/11/2025,1.59,0.55,3.71,Ing Ricardo,En reposo
25/11/2025,1.59,0.52,4.30,Ing Ricardo,En reposo
25/11/2025,1.59,0.51,4.50,Ing Ricardo,En reposo
25/11/2025,1.57,0.53,4.91,Ing Ricardo,En reposo
25/11/2025,1.59,0.55,5.42,Ing Ricardo,En reposo
25/11/2025,1.58,0.57,5.93,Ing Ricardo,En reposo
25/11/2025,1.57,0.6,7.27,Ing Ricardo,En reposo
25/11/2025,1.59,0.6,7.29,Ing Ricardo,En reposo
25/11/2025,1.57,0.6,7.67,Ing Ricardo,En reposo
25/11/2025,1.64,0.6,9.55,Ing Ricardo,En reposo
25/11/2025,1.57,0.61,9.94,Ing Ricardo,En reposo
25/11/2025,1.59,0.63,10.91,Ing Ricardo,En reposo
25/11/2025,1.59,0.64,10.93,Ing Ricardo,En reposo
25/11/2025,1.6,0.67,11.60,Ing Ricardo,En reposo
25/11/2025,1.57,0.69,12.19,Ing Ricardo,En reposo
25/11/2025,1.58,0.71,12.69,Ing Ricardo,En reposo
25/11/2025,1.59,0.73,12.90,Ing Ricardo,En reposo
25/11/2025,1.56,0.74,13.62,Ing Ricardo,En reposo
25/11/2025,1.6,0.75,13.95,Ing Ricardo,En reposo
25/11/2025,1.59,0.71,14.65,Ing Ricardo,En reposo
25/11/2025,1.6,0.69,15.05,Ing Ricardo,En reposo
25/11/2025,1.61,0.67,15.56,Ing Ricardo,En reposo
25/11/2025,1.58,0.66,16.17,Ing Ricardo,En reposo
25/11/2025,1.56,0.64,16.57,Ing Ricardo,En reposo
25/11/2025,1.63,0.63,17.21,Ing Ricardo,En reposo
25/11/2025,1.6,0.61,17.50,Ing Ricardo,En reposo
25/11/2025,1.61,0.6,17.92,Ing Ricardo,En reposo
25/11/2025,1.57,0.59,18.43,Ing Ricardo,En reposo
25/11/2025,1.56,0.59,19.24,Ing Ricardo,En reposo
25/11/2025,1.6,0.58,19.55,Ing Ricardo,En reposo
25/11/2025,1.62,0.58,19.96,Ing Ricardo,En reposo
25/11/2025,1.57,0.59,20.47,Ing Ricardo,En reposo
25/11/2025,1.59,0.6,21.19,Ing Ricardo,En reposo
25/11/2025,1.59,0.59,22.12,Ing Ricardo,En reposo
25/11/2025,1.61,0.61,22.13,Ing Ricardo,En reposo
25/11/2025,1.57,0.63,22.52,Ing Ricardo,En reposo
25/11/2025,1.58,0.63,23.75,Ing Ricardo,En reposo
25/11/2025,1.52,0.63,23.77,Ing Ricardo,En reposo
25/11/2025,1.64,0.63,24.06,Ing Ricardo,En reposo
25/11/2025,1.48,0.6,24.98,Ing Ricardo,En reposo
25/11/2025,1.61,0.59,25.49,Ing Ricardo,En reposo
25/11/2025,1.52,0.59,26.31,Ing Ricardo,En reposo
25/11/2025,1.6,0.68,26.51,Ing Ricardo,En reposo
25/11/2025,1.52,0.78,26.92,Ing Ricardo,En reposo
25/11/2025,1.59,0.9,27.64,Ing Ricardo,En reposo
25/11/2025,1.61,1.04,28.05,Ing Ricardo,En reposo
25/11/2025,1.6,1.2,28.46,Ing Ricardo,En reposo
25/11/2025,1.55,1.91,29.18,Ing Ricardo,En reposo
25/11/2025,1.57,2.41,29.59,Ing Ricardo,En reposo
25/11/2025,1.53,2.76,30.72,Ing Ricardo,En reposo
25/11/2025,1.58,3.24,30.74,Ing Ricardo,En reposo
25/11/2025,1.62,3.4,31.33,Ing Ricardo,En reposo
25/11/2025,1.56,3.51,31.84,Ing Ricardo,En reposo
25/11/2025,1.55,3.6,32.20,Ing Ricardo,En reposo
25/11/2025,1.54,3.67,33.17,Ing Ricardo,En reposo
25/11/2025,1.6,3.73,33.38,Ing Ricardo,En reposo
25/11/2025,1.56,3.78,34.19,Ing Ricardo,En reposo
25/11/2025,1.62,3.83,34.51,Ing Ricardo,En reposo
25/11/2025,1.54,3.86,35.01,Ing Ricardo,En reposo
25/11/2025,1.56,3.89,35.52,Ing Ricardo,En reposo
25/11/2025,1.54,3.97,36.04,Ing Ricardo,En reposo
25/11/2025,1.61,3.92,36.75,Ing Ricardo,En reposo
25/11/2025,1.62,3.71,37.37,Ing Ricardo,En reposo
25/11/2025,1.58,2.78,37.98,Ing Ricardo,En reposo
25/11/2025,1.62,2.43,38.60,Ing Ricardo,En reposo
25/11/2025,1.6,2.21,39.21,Ing Ricardo,En reposo
25/11/2025,1.61,2.05,39.76,Ing Ricardo,En reposo
25/11/2025,1.63,1.94,39.94,Ing Ricardo,En reposo
25/11/2025,1.56,1.88,40.44,Ing Ricardo,En reposo
25/11/2025,1.56,1.85,41.02,Ing Ricardo,En reposo
25/11/2025,1.58,1.82,41.46,Ing Ricardo,En reposo
25/11/2025,1.62,1.8,41.97,Ing Ricardo,En reposo
25/11/2025,1.53,1.78,42.50,Ing Ricardo,En reposo
25/11/2025,1.58,1.76,43.00,Ing Ricardo,En reposo
25/11/2025,1.55,1.75,43.41,Ing Ricardo,En reposo
25/11/2025,1.63,1.73,43.92,Ing Ricardo,En reposo
25/11/2025,1.66,2.09,44.64,Ing Ricardo,En reposo
25/11/2025,1.65,2.65,45.36,Ing Ricardo,En reposo
25/11/2025,1.61,3.08,45.48,Ing Ricardo,En reposo
25/11/2025,1.59,3.31,46.28,Ing Ricardo,En reposo
25/11/2025,1.6,3.48,46.80,Ing Ricardo,En reposo
25/11/2025,1.61,3.62,47.10,Ing Ricardo,En reposo
25/11/2025,1.57,3.73,48.44,Ing Ricardo,En reposo
25/11/2025,1.55,3.81,48.45,Ing Ricardo,En reposo
25/11/2025,1.62,3.89,48.85,Ing Ricardo,En reposo
25/11/2025,1.67,3.96,49.05,Ing Ricardo,En reposo
25/11/2025,1.64,4.02,49.89,Ing Ricardo,En reposo
25/11/2025,1.59,4.06,50.08,Ing Ricardo,En reposo
25/11/2025,1.56,4.09,50.58,Ing Ricardo,En reposo
25/11/2025,1.55,4.12,51.16,Ing Ricardo,En reposo
25/11/2025,1.62,4.15,51.50,Ing Ricardo,En reposo
25/11/2025,1.61,4.17,52.01,Ing Ricardo,En reposo
25/11/2025,1.58,4.18,52.43,Ing Ricardo,En reposo
25/11/2025,1.5,4.2,53.03,Ing Ricardo,En reposo
25/11/2025,1.57,4.21,53.65,Ing Ricardo,En reposo
25/11/2025,1.63,4.22,54.98,Ing Ricardo,En reposo
25/11/2025,1.6,3.35,55.00,Ing Ricardo,En reposo
25/11/2025,1.55,2.55,55.69,Ing Ricardo,En reposo
25/11/2025,1.56,1.99,56.42,Ing Ricardo,En reposo
25/11/2025,1.68,1.6,56.62,Ing Ricardo,En reposo
25/11/2025,1.64,1.32,57.13,Ing Ricardo,En reposo
25/11/2025,1.52,1.13,57.54,Ing Ricardo,En reposo
25/11/2025,1.54,1,58.05,Ing Ricardo,En reposo
25/11/2025,1.62,0.89,58.87,Ing Ricardo,En reposo
25/11/2025,1.66,0.81,59.59,Ing Ricardo,En reposo
25/11/2025,1.64,0.75,59.61,Ing Ricardo,En reposo
