fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.57,0.6,1.24,Ing Ricardo,En reposo
25/11/2025,1.57,0.59,1.84,Ing Ricardo,En reposo
25/11/2025,1.59,0.55,2.29,Ing Ricardo,En reposo
25/11/2025,1.6,0.49,2.50,Ing Ricardo,En reposo
25/11/2025,1.56,0.49,3.27,Ing Ricardo,En reposo
25/11/2025,1.57,0.49,3.59,Ing Ricardo,En reposo
25/11/2025,1.58,0.49,4.00,Ing Ricardo,En reposo
25/11/2025,1.61,0.51,4.52,Ing Ricardo,En reposo
25/11/2025,1.59,0.53,5.22,Ing Ricardo,En reposo
25/11/2025,1.59,0.54,5.46,Ing Ricardo,En reposo
25/11/2025,1.58,0.71,5.97,Ing Ricardo,En reposo
25/11/2025,1.56,0.87,6.47,Ing Ricardo,En reposo
25/11/2025,1.57,1.07,6.98,Ing Ricardo,En reposo
25/11/2025,1.56,1.24,8.09,Ing Ricardo,En reposo
25/11/2025,1.59,1.36,8.11,Ing Ricardo,En reposo
25/11/2025,1.53,1.46,8.60,Ing Ricardo,En reposo
25/11/2025,1.59,1.53,9.12,Ing Ricardo,En reposo
25/11/2025,1.58,1.58,9.63,Ing Ricardo,En reposo
25/11/2025,1.57,1.62,10.04,Ing Ricardo,En reposo
25/11/2025,1.59,1.65,10.65,Ing Ricardo,En reposo
25/11/2025,1.59,1.69,11.17,Ing Ricardo,En reposo
25/11/2025,1.58,1.72,11.48,Ing Ricardo,En reposo
25/11/2025,1.58,1.74,12.09,Ing Ricardo,En reposo
25/11/2025,1.57,1.75,12.49,Ing Ricardo,En reposo
25/11/2025,1.59,1.76,13.12,Ing Ricardo,En reposo
25/11/2025,1.59,1.77,13.62,Ing Ricardo,En reposo
25/11/2025,1.55,1.77,14.14,Ing Ricardo,En reposo
25/11/2025,1.6,1.78,14.54,Ing Ricardo,En reposo
25/11/2025,1.56,1.78,14.98,Ing Ricardo,En reposo
25/11/2025,1.55,1.79,15.49,Ing Ricardo,En reposo
25/11/2025,1.55,1.73,15.97,Ing Ricardo,En reposo
25/11/2025,1.56,1.65,16.50,Ing Ricardo,En reposo
25/11/2025,1.58,1.44,16.98,Ing Ricardo,En reposo
25/11/2025,1.59,1.14,17.51,Ing Ricardo,En reposo
25/11/2025,1.73,0.93,18.43,Ing Ricardo,En reposo
25/11/2025,1.66,0.81,18.64,Ing Ricardo,En reposo
25/11/2025,1.58,0.75,19.05,Ing Ricardo,En reposo
25/11/2025,1.55,0.72,19.56,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,20.07,Ing Ricardo,En reposo
25/11/2025,1.56,0.7,20.58,Ing Ricardo,En reposo
25/11/2025,1.67,0.7,20.98,Ing Ricardo,En reposo
25/11/2025,1.6,0.7,21.71,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,22.23,Ing Ricardo,En reposo
25/11/2025,1.66,0.69,22.84,Ing Ricardo,En reposo
25/11/2025,1.57,0.69,23.25,Ing Ricardo,En reposo
25/11/2025,1.48,0.7,23.55,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,23.97,Ing Ricardo,En reposo
25/11/2025,1.54,0.69,24.58,Ing Ricardo,En reposo
25/11/2025,1.63,0.69,24.99,Ing Ricardo,En reposo
25/11/2025,1.58,0.69,25.59,Ing Ricardo,En reposo
25/11/2025,1.51,0.69,26.01,Ing Ricardo,En reposo
25/11/2025,1.58,0.69,26.52,Ing Ricardo,En reposo
25/11/2025,1.63,0.69,27.14,Ing Ricardo,En reposo
25/11/2025,1.67,0.68,27.55,Ing Ricardo,En reposo
25/11/2025,1.6,0.78,28.06,Ing Ricardo,En reposo
25/11/2025,1.6,1.2,28.60,Ing Ricardo,En reposo
25/11/2025,1.53,1.5,29.08,Ing Ricardo,En reposo
25/11/2025,1.54,1.71,29.60,Ing Ricardo,En reposo
25/11/2025,1.62,1.87,30.10,Ing Ricardo,En reposo
25/11/2025,1.62,1.98,30.71,Ing Ricardo,En reposo
25/11/2025,1.63,2.08,31.12,Ing Ricardo,En reposo
25/11/2025,1.59,2.17,31.64,Ing Ricardo,En reposo
25/11/2025,1.63,2.23,32.04,Ing Ricardo,En reposo
25/11/2025,1.65,2.29,32.57,Ing Ricardo,En reposo
25/11/2025,1.6,2.34,33.07,Ing Ricardo,En reposo
25/11/2025,1.61,2.39,33.49,Ing Ricardo,En reposo
25/11/2025,1.57,2.44,34.09,Ing Ricardo,En reposo
25/11/2025,1.55,2.48,34.52,Ing Ricardo,En reposo
25/11/2025,1.53,2.5,35.02,Ing Ricardo,En reposo
25/11/2025,1.61,2.53,35.53,Ing Ricardo,En reposo
25/11/2025,1.61,2.56,36.35,Ing Ricardo,En reposo
25/11/2025,1.63,2.58,36.55,Ing Ricardo,En reposo
25/11/2025,1.55,2.6,37.06,Ing Ricardo,En reposo
25/11/2025,1.66,2.61,37.58,Ing Ricardo,En reposo
25/11/2025,1.62,2.16,37.99,Ing Ricardo,En reposo
25/11/2025,1.61,1.84,38.60,Ing Ricardo,En reposo
25/11/2025,1.6,1.79,39.00,Ing Ricardo,En reposo
25/11/2025,1.53,1.82,39.62,Ing Ricardo,En reposo
25/11/2025,1.56,1.88,40.08,Ing Ricardo,En reposo
25/11/2025,1.56,1.93,40.54,Ing Ricardo,En reposo
25/11/2025,1.67,1.98,41.17,Ing Ricardo,En reposo
25/11/2025,1.59,2.07,42.19,Ing Ricardo,En reposo
25/11/2025,1.56,2.13,42.51,Ing Ricardo,En reposo
25/11/2025,1.61,2.19,43.10,Ing Ricardo,En reposo
25/11/2025,1.6,2.23,43.52,Ing Ricardo,En reposo
25/11/2025,1.55,2.26,44.23,Ing Ricardo,En reposo
25/11/2025,1.52,2.29,44.55,Ing Ricardo,En reposo
25/11/2025,1.56,2.31,45.46,Ing Ricardo,En reposo
25/11/2025,1.62,2.32,45.63,Ing Ricardo,En reposo
25/11/2025,1.61,2.31,46.29,Ing Ricardo,En reposo
25/11/2025,1.61,2.31,46.59,Ing Ricardo,En reposo
25/11/2025,1.58,2.32,47.10,Ing Ricardo,En reposo
25/11/2025,1.71,2.32,47.51,Ing Ricardo,En reposo
25/11/2025,1.67,2.51,48.13,Ing Ricardo,En reposo
25/11/2025,1.64,2.65,48.53,Ing Ricardo,En reposo
25/11/2025,1.51,2.62,49.05,Ing Ricardo,En reposo
25/11/2025,1.56,2.41,49.55,Ing Ricardo,En reposo
25/11/2025,1.57,2.3,50.17,Ing Ricardo,En reposo
25/11/2025,1.61,2.26,50.58,Ing Ricardo,En reposo
25/11/2025,1.57,2.28,51.19,Ing Ricardo,En reposo
25/11/2025,1.57,2.31,51.60,Ing Ricardo,En reposo
25/11/2025,1.55,2.34,52.12,Ing Ricardo,En reposo
25/11/2025,1.61,2.37,52.63,Ing Ricardo,En reposo
25/11/2025,1.62,2.39,53.45,Ing Ricardo,En reposo
25/11/2025,1.59,2.41,53.51,Ing Ricardo,En reposo
25/11/2025,1.57,2.43,54.06,Ing Ricardo,En reposo
25/11/2025,1.53,2.44,54.57,Ing Ricardo,En reposo
25/11/2025,1.57,2.45,55.19,Ing Ricardo,En reposo
25/11/2025,1.58,2.48,56.01,Ing Ricardo,En reposo
25/11/2025,1.63,2.51,56.52,Ing Ricardo,En reposo
25/11/2025,1.53,2.53,57.03,Ing Ricardo,En reposo
25/11/2025,1.66,2.56,57.65,Ing Ricardo,En reposo
25/11/2025,1.63,2.34,58.05,Ing Ricardo,En reposo
25/11/2025,1.63,2.17,58.57,Ing Ricardo,En reposo
25/11/2025,1.57,2,59.08,Ing Ricardo,En reposo
25/11/2025,1.55,1.79,59.60,Ing Ricardo,En reposo
25/11/2025,1.57,1.63,60.11,Ing Ricardo,En reposo
25/11/2025,1.59,1.52,60.62,Ing Ricardo,En reposo
25/11/2025,1.59,1.42,61.33,Ing Ricardo,En reposo
25/11/2025,1.55,1.34,61.75,Ing Ricardo,En reposo
25/11/2025,1.56,1.29,62.26,Ing Ricardo,En reposo
25/11/2025,1.59,1.25,62.56,Ing Ricardo,En reposo
25/11/2025,1.64,1.23,63.08,Ing Ricardo,En reposo
25/11/2025,1.57,1.21,63.79,Ing Ricardo,En reposo
