fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.56,0.55,1.02,Ing Ricardo,En reposo
25/11/2025,1.57,0.55,1.43,Ing Ricardo,En reposo
25/11/2025,1.57,0.55,1.83,Ing Ricardo,En reposo
25/11/2025,1.58,0.55,2.24,Ing Ricardo,En reposo
25/11/2025,1.57,0.56,2.75,Ing Ricardo,En reposo
25/11/2025,1.56,0.57,3.37,Ing Ricardo,En reposo
25/11/2025,1.58,0.57,3.99,Ing Ricardo,En reposo
25/11/2025,1.58,0.57,4.29,Ing Ricardo,En reposo
25/11/2025,1.57,0.57,5.01,Ing Ricardo,En reposo
25/11/2025,1.57,0.57,5.42,Ing Ricardo,En reposo
25/11/2025,1.6,0.57,5.83,Ing Ricardo,En reposo
25/11/2025,1.6,0.57,6.44,Ing Ricardo,En reposo
25/11/2025,1.56,0.58,6.89,Ing Ricardo,En reposo
25/11/2025,1.56,0.58,7.37,Ing Ricardo,En reposo
25/11/2025,1.57,0.58,7.77,Ing Ricardo,En reposo
25/11/2025,1.56,0.57,8.29,Ing Ricardo,En reposo
25/11/2025,1.58,0.56,8.80,Ing Ricardo,En reposo
25/11/2025,1.57,0.62,9.31,Ing Ricardo,En reposo
25/11/2025,1.6,0.66,9.82,Ing Ricardo,En reposo
25/11/2025,1.6,0.71,10.54,Ing Ricardo,En reposo
25/11/2025,1.59,0.75,10.85,Ing Ricardo,En reposo
25/11/2025,1.6,0.77,11.24,Ing Ricardo,En reposo
25/11/2025,1.59,0.79,11.77,Ing Ricardo,En reposo
25/11/2025,1.57,0.81,12.48,Ing Ricardo,En reposo
25/11/2025,1.56,0.82,12.90,Ing Ricardo,En reposo
25/11/2025,1.57,0.83,13.30,Ing Ricardo,En reposo
25/11/2025,1.59,0.85,13.82,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,14.33,Ing Ricardo,En reposo
25/11/2025,1.57,0.89,14.74,Ing Ricardo,En reposo
25/11/2025,1.54,0.9,15.35,Ing Ricardo,En reposo
25/11/2025,1.56,0.89,16.17,Ing Ricardo,En reposo
25/11/2025,1.56,0.89,16.39,Ing Ricardo,En reposo
25/11/2025,1.59,0.89,16.79,Ing Ricardo,En reposo
25/11/2025,1.61,0.88,17.30,Ing Ricardo,En reposo
25/11/2025,1.6,0.9,18.12,Ing Ricardo,En reposo
25/11/2025,1.57,0.91,18.32,Ing Ricardo,En reposo
25/11/2025,1.61,0.9,18.73,Ing Ricardo,En reposo
25/11/2025,1.59,0.88,19.56,Ing Ricardo,En reposo
25/11/2025,1.61,0.86,19.75,Ing Ricardo,En reposo
25/11/2025,1.55,0.84,20.26,Ing Ricardo,En reposo
25/11/2025,1.61,0.83,20.98,Ing Ricardo,En reposo
25/11/2025,1.56,0.82,21.50,Ing Ricardo,En reposo
25/11/2025,1.59,0.81,22.32,Ing Ricardo,En reposo
25/11/2025,1.6,0.82,22.72,Ing Ricardo,En reposo
25/11/2025,1.56,0.83,23.03,Ing Ricardo,En reposo
25/11/2025,1.57,0.84,23.54,Ing Ricardo,En reposo
25/11/2025,1.6,0.83,23.76,Ing Ricardo,En reposo
25/11/2025,1.57,0.84,24.36,Ing Ricardo,En reposo
25/11/2025,1.55,0.83,24.98,Ing Ricardo,En reposo
25/11/2025,1.58,0.82,25.39,Ing Ricardo,En reposo
25/11/2025,1.57,0.81,25.91,Ing Ricardo,En reposo
25/11/2025,1.6,0.78,26.62,Ing Ricardo,En reposo
25/11/2025,1.62,0.78,26.93,Ing Ricardo,En reposo
25/11/2025,1.61,0.78,27.44,Ing Ricardo,En reposo
25/11/2025,1.57,0.73,28.16,Ing Ricardo,En reposo
25/11/2025,1.59,0.71,28.46,Ing Ricardo,En reposo
25/11/2025,1.59,0.69,29.10,Ing Ricardo,En reposo
25/11/2025,1.55,0.87,29.59,Ing Ricardo,En reposo
25/11/2025,1.54,1.15,30.10,Ing Ricardo,En reposo
25/11/2025,1.58,1.42,30.71,Ing Ricardo,En reposo
25/11/2025,1.58,1.62,30.92,Ing Ricardo,En reposo
