fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.59,0.7,0.51,Ing Ricardo,En reposo
25/11/2025,1.58,0.68,0.83,Ing Ricardo,En reposo
25/11/2025,1.59,0.66,1.23,Ing Ricardo,En reposo
25/11/2025,1.59,0.65,1.96,Ing Ricardo,En reposo
25/11/2025,1.62,0.72,2.78,Ing Ricardo,En reposo
25/11/2025,1.58,0.74,3.48,Ing Ricardo,En reposo
25/11/2025,1.61,0.77,3.89,Ing Ricardo,En reposo
25/11/2025,1.59,0.8,4.40,Ing Ricardo,En reposo
25/11/2025,1.6,0.82,4.91,Ing Ricardo,En reposo
25/11/2025,1.54,0.84,5.22,Ing Ricardo,En reposo
25/11/2025,1.58,0.85,5.83,Ing Ricardo,En reposo
25/11/2025,1.59,0.86,6.24,Ing Ricardo,En reposo
25/11/2025,1.6,0.87,6.65,Ing Ricardo,En reposo
25/11/2025,1.59,0.88,7.26,Ing Ricardo,En reposo
25/11/2025,1.56,0.88,7.88,Ing Ricardo,En reposo
25/11/2025,1.59,0.88,8.19,Ing Ricardo,En reposo
25/11/2025,1.6,0.89,8.80,Ing Ricardo,En reposo
25/11/2025,1.63,0.9,9.28,Ing Ricardo,En reposo
25/11/2025,1.57,0.91,9.72,Ing Ricardo,En reposo
25/11/2025,1.62,0.91,10.24,Ing Ricardo,En reposo
25/11/2025,1.55,0.91,10.75,Ing Ricardo,En reposo
25/11/2025,1.55,0.91,11.16,Ing Ricardo,En reposo
25/11/2025,1.54,0.91,11.77,Ing Ricardo,En reposo
25/11/2025,1.6,0.87,12.39,Ing Ricardo,En reposo
25/11/2025,1.58,0.84,13.10,Ing Ricardo,En reposo
25/11/2025,1.57,0.82,13.31,Ing Ricardo,En reposo
25/11/2025,1.78,0.77,13.72,Ing Ricardo,En reposo
25/11/2025,1.53,0.73,14.23,Ing Ricardo,En reposo
25/11/2025,1.51,0.77,14.94,Ing Ricardo,En reposo
25/11/2025,1.69,0.84,15.25,Ing Ricardo,En uso
25/11/2025,2.07,0.92,15.76,Ing Ricardo,En uso
25/11/2025,2.12,0.99,16.28,Ing Ricardo,En uso
25/11/2025,1.37,1.17,16.69,Ing Ricardo,En uso
25/11/2025,2.2,1.42,17.20,Ing Ricardo,En uso
25/11/2025,2.04,1.72,17.71,Ing Ricardo,En uso
25/11/2025,1.33,1.93,18.32,Ing Ricardo,En uso
25/11/2025,1.76,2.09,18.73,Ing Ricardo,En uso
25/11/2025,2.16,2.26,19.45,Ing Ricardo,En uso
25/11/2025,1.68,2.39,19.86,Ing Ricardo,En uso
25/11/2025,1.5,2.49,20.37,Ing Ricardo,En uso
25/11/2025,1.42,2.57,20.78,Ing Ricardo,En uso
25/11/2025,1.85,2.64,21.57,Ing Ricardo,En uso
25/11/2025,2.2,2.7,21.80,Ing Ricardo,En uso
25/11/2025,1.66,2.77,22.21,Ing Ricardo,En uso
25/11/2025,1.89,2.85,22.65,Ing Ricardo,En uso
25/11/2025,1.93,2.92,23.17,Ing Ricardo,En uso
25/11/2025,2.29,2.99,23.66,Ing Ricardo,En uso
25/11/2025,2.23,3.04,24.27,Ing Ricardo,En uso
25/11/2025,1.26,3.06,24.62,Ing Ricardo,En uso
25/11/2025,2.14,3.07,25.18,Ing Ricardo,En uso
25/11/2025,2.13,3.09,25.70,Ing Ricardo,En uso
25/11/2025,1.49,3.09,26.18,Ing Ricardo,En uso
25/11/2025,1.61,3.04,26.72,Ing Ricardo,En uso
25/11/2025,2,2.93,27.44,Ing Ricardo,En uso
25/11/2025,1.65,2.73,27.95,Ing Ricardo,En uso
25/11/2025,1.63,2.59,28.36,Ing Ricardo,En uso
25/11/2025,1.25,2.48,28.77,Ing Ricardo,En uso
25/11/2025,2.29,2.35,29.18,Ing Ricardo,En uso
25/11/2025,2.11,2.24,29.79,Ing Ricardo,En uso
25/11/2025,2.25,2.15,30.32,Ing Ricardo,En uso
25/11/2025,1.6,2.06,30.92,Ing Ricardo,En uso
25/11/2025,2.11,2.02,31.39,Ing Ricardo,En uso
25/11/2025,2.29,2.04,31.94,Ing Ricardo,En uso
25/11/2025,2.22,2,32.45,Ing Ricardo,En uso
25/11/2025,1.72,1.97,32.76,Ing Ricardo,En uso
25/11/2025,1.76,1.97,33.38,Ing Ricardo,En uso
25/11/2025,2.1,1.97,33.89,Ing Ricardo,En uso
25/11/2025,2.09,1.98,34.40,Ing Ricardo,En uso
25/11/2025,2.34,2.01,35.02,Ing Ricardo,En uso
25/11/2025,1.28,2.04,35.33,Ing Ricardo,En uso
25/11/2025,2.01,2.04,35.83,Ing Ricardo,En uso
25/11/2025,1.98,2.06,36.24,Ing Ricardo,En uso
25/11/2025,2.18,2.07,36.76,Ing Ricardo,En uso
25/11/2025,1.64,2.08,37.27,Ing Ricardo,En uso
25/11/2025,1.42,2.08,37.78,Ing Ricardo,En uso
25/11/2025,1.84,2.06,38.20,Ing Ricardo,En uso
25/11/2025,2.1,2.02,38.70,Ing Ricardo,En uso
25/11/2025,1.65,1.98,39.22,Ing Ricardo,En uso
25/11/2025,1.78,1.92,39.73,Ing Ricardo,En uso
25/11/2025,1.2,1.85,40.24,Ing Ricardo,En uso
25/11/2025,1.88,1.81,40.75,Ing Ricardo,En uso
25/11/2025,1.87,1.52,41.26,Ing Ricardo,En uso
25/11/2025,1.39,1.32,41.77,Ing Ricardo,En uso
25/11/2025,1.92,1.19,42.18,Ing Ricardo,En uso
25/11/2025,2.09,1.43,42.70,Ing Ricardo,En uso
25/11/2025,1.93,1.64,43.21,Ing Ricardo,En uso
25/11/2025,1.58,1.81,43.73,Ing Ricardo,En uso
25/11/2025,1.59,1.92,44.23,Ing Ricardo,En uso
25/11/2025,1.96,2.06,44.74,Ing Ricardo,En uso
25/11/2025,1.77,2.21,45.26,Ing Ricardo,En uso
25/11/2025,1.43,2.36,45.77,Ing Ricardo,En uso
25/11/2025,1.71,2.56,46.17,Ing Ricardo,En uso
25/11/2025,2.11,2.79,46.79,Ing Ricardo,En uso
25/11/2025,1.83,3.02,47.31,Ing Ricardo,En uso
25/11/2025,1.86,3.25,47.81,Ing Ricardo,En uso
25/11/2025,1.27,3.42,48.22,Ing Ricardo,En uso
25/11/2025,2.24,3.58,48.84,Ing Ricardo,En uso
25/11/2025,1.97,3.72,49.26,Ing Ricardo,En uso
25/11/2025,1.49,3.87,49.76,Ing Ricardo,En uso
25/11/2025,1.66,4.02,50.35,Ing Ricardo,En uso
25/11/2025,1.83,4.14,50.68,Ing Ricardo,En uso
25/11/2025,2.09,4.24,51.61,Ing Ricardo,En uso
25/11/2025,1.8,4.34,52.53,Ing Ricardo,En uso
25/11/2025,1.57,4.43,52.55,Ing Ricardo,En uso
25/11/2025,1.9,4.35,52.74,Ing Ricardo,En uso
25/11/2025,1.96,4.25,53.34,Ing Ricardo,En uso
25/11/2025,1.72,4.13,53.76,Ing Ricardo,En uso
