fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.56,0.76,0.73,Ing Ricardo,En reposo
25/11/2025,1.59,0.74,0.93,Ing Ricardo,En reposo
25/11/2025,1.59,0.71,1.65,Ing Ricardo,En reposo
25/11/2025,1.59,0.71,2.46,Ing Ricardo,En reposo
25/11/2025,1.58,0.71,3.28,Ing Ricardo,En reposo
25/11/2025,1.57,0.71,3.58,Ing Ricardo,En reposo
25/11/2025,1.57,0.7,3.99,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,4.40,Ing Ricardo,En reposo
25/11/2025,1.58,0.7,4.81,Ing Ricardo,En reposo
25/11/2025,1.6,0.7,5.53,Ing Ricardo,En reposo
25/11/2025,1.56,0.7,5.94,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,6.35,Ing Ricardo,En reposo
25/11/2025,1.61,0.7,6.87,Ing Ricardo,En reposo
25/11/2025,1.59,0.7,7.43,Ing Ricardo,En reposo
25/11/2025,1.6,0.7,7.88,Ing Ricardo,En reposo
25/11/2025,1.57,0.7,8.39,Ing Ricardo,En reposo
25/11/2025,1.56,0.7,9.01,Ing Ricardo,En reposo
25/11/2025,1.56,0.71,9.42,Ing Ricardo,En reposo
25/11/2025,1.6,0.71,10.04,Ing Ricardo,En reposo
25/11/2025,1.62,1,10.55,Ing Ricardo,En reposo
25/11/2025,1.57,1.22,11.26,Ing Ricardo,En reposo
25/11/2025,1.55,1.38,11.47,Ing Ricardo,En reposo
25/11/2025,1.57,1.49,11.98,Ing Ricardo,En reposo
25/11/2025,1.56,1.59,12.59,Ing Ricardo,En reposo
25/11/2025,1.55,1.77,12.90,Ing Ricardo,En reposo
25/11/2025,1.63,2.15,13.41,Ing Ricardo,En reposo
25/11/2025,1.55,2.41,14.12,Ing Ricardo,En reposo
25/11/2025,1.51,2.59,14.46,Ing Ricardo,En reposo
25/11/2025,1.53,2.84,15.56,Ing Ricardo,En reposo
25/11/2025,1.65,3.12,15.58,Ing Ricardo,En reposo
25/11/2025,1.65,3.39,16.18,Ing Ricardo,En reposo
25/11/2025,1.74,3.58,17.00,Ing Ricardo,En reposo
25/11/2025,1.57,3.71,17.02,Ing Ricardo,En reposo
25/11/2025,1.71,3.82,17.71,Ing Ricardo,En reposo
25/11/2025,1.53,4.02,17.92,Ing Ricardo,En uso
25/11/2025,1.49,4.19,18.33,Ing Ricardo,En uso
25/11/2025,1.62,4.36,18.84,Ing Ricardo,En uso
25/11/2025,1.62,4.49,19.36,Ing Ricardo,En uso
25/11/2025,1.52,4.57,20.17,Ing Ricardo,En uso
25/11/2025,1.64,4.66,20.58,Ing Ricardo,En uso
25/11/2025,1.49,4.94,21.95,Ing Ricardo,En uso
25/11/2025,1.6,4.99,22.33,Ing Ricardo,En uso
25/11/2025,1.59,5.02,22.83,Ing Ricardo,En uso
25/11/2025,1.65,4.94,23.35,Ing Ricardo,En uso
25/11/2025,1.61,4.9,24.06,Ing Ricardo,En uso
25/11/2025,1.57,4.86,24.37,Ing Ricardo,En uso
25/11/2025,1.6,4.73,24.89,Ing Ricardo,En reposo
25/11/2025,1.55,4.54,25.50,Ing Ricardo,En reposo
25/11/2025,1.62,4.25,25.91,Ing Ricardo,En reposo
25/11/2025,1.66,4.04,27.44,Ing Ricardo,En reposo
25/11/2025,1.68,3.7,27.46,Ing Ricardo,En reposo
25/11/2025,1.52,3.08,27.85,Ing Ricardo,En reposo
25/11/2025,1.62,2.64,28.46,Ing Ricardo,En reposo
25/11/2025,1.66,2.32,28.88,Ing Ricardo,En reposo
25/11/2025,1.58,2.1,29.39,Ing Ricardo,En reposo
25/11/2025,1.65,1.93,29.89,Ing Ricardo,En reposo
25/11/2025,1.56,1.79,30.41,Ing Ricardo,En reposo
25/11/2025,1.5,1.68,30.93,Ing Ricardo,En reposo
25/11/2025,1.62,1.6,31.33,Ing Ricardo,En reposo
25/11/2025,1.66,1.53,31.85,Ing Ricardo,En reposo
25/11/2025,1.59,1.48,32.46,Ing Ricardo,En reposo
25/11/2025,1.51,1.45,33.17,Ing Ricardo,En reposo
25/11/2025,1.56,1.43,33.38,Ing Ricardo,En reposo
25/11/2025,1.6,1.41,34.42,Ing Ricardo,En reposo
25/11/2025,1.62,1.4,34.43,Ing Ricardo,En reposo
25/11/2025,1.71,1.39,35.02,Ing Ricardo,En reposo
25/11/2025,1.64,1.44,35.49,Ing Ricardo,En reposo
25/11/2025,1.63,1.62,35.94,Ing Ricardo,En reposo
25/11/2025,1.52,1.78,36.55,Ing Ricardo,En reposo
25/11/2025,1.55,1.88,37.16,Ing Ricardo,En reposo
25/11/2025,1.67,1.92,37.67,Ing Ricardo,En reposo
25/11/2025,1.62,1.95,38.09,Ing Ricardo,En reposo
25/11/2025,1.51,1.98,38.60,Ing Ricardo,En reposo
25/11/2025,1.51,2,38.91,Ing Ricardo,En reposo
25/11/2025,1.51,2.02,39.52,Ing Ricardo,En reposo
25/11/2025,1.57,2.03,40.13,Ing Ricardo,En uso
25/11/2025,1.61,2.04,40.75,Ing Ricardo,En uso
25/11/2025,1.6,2.05,41.06,Ing Ricardo,En uso
25/11/2025,1.64,2.06,41.57,Ing Ricardo,En reposo
25/11/2025,1.5,2.06,41.98,Ing Ricardo,En reposo
25/11/2025,1.54,2.31,42.39,Ing Ricardo,En reposo
25/11/2025,1.68,2.67,43.00,Ing Ricardo,En reposo
25/11/2025,1.64,3.15,43.51,Ing Ricardo,En reposo
25/11/2025,1.56,3.53,44.44,Ing Ricardo,En reposo
25/11/2025,1.55,3.8,44.47,Ing Ricardo,En reposo
25/11/2025,1.53,4.01,44.95,Ing Ricardo,En reposo
25/11/2025,1.61,4.1,45.77,Ing Ricardo,En reposo
25/11/2025,1.69,4.04,46.38,Ing Ricardo,En reposo
25/11/2025,1.57,4.02,46.60,Ing Ricardo,En reposo
25/11/2025,1.62,4.02,47.20,Ing Ricardo,En reposo
25/11/2025,1.59,4.03,47.41,Ing Ricardo,En reposo
25/11/2025,1.56,4.05,47.91,Ing Ricardo,En reposo
25/11/2025,1.68,4.08,48.43,Ing Ricardo,En reposo
25/11/2025,1.6,4.11,49.46,Ing Ricardo,En reposo
25/11/2025,1.58,4.14,49.47,Ing Ricardo,En reposo
25/11/2025,1.54,4.17,49.92,Ing Ricardo,En reposo
25/11/2025,1.52,4.2,50.48,Ing Ricardo,En reposo
25/11/2025,1.55,4.23,50.99,Ing Ricardo,En reposo
25/11/2025,1.69,4.24,51.50,Ing Ricardo,En reposo
25/11/2025,1.66,4.25,52.02,Ing Ricardo,En reposo
25/11/2025,1.66,4.19,52.63,Ing Ricardo,En reposo
25/11/2025,1.66,4.05,53.04,Ing Ricardo,En reposo
25/11/2025,1.51,3.62,53.45,Ing Ricardo,En reposo
25/11/2025,1.59,3.08,53.86,Ing Ricardo,En reposo
25/11/2025,1.51,2.76,54.46,Ing Ricardo,En reposo
25/11/2025,1.68,2.56,54.98,Ing Ricardo,En reposo
25/11/2025,1.59,2.44,55.49,Ing Ricardo,En uso
25/11/2025,1.57,2.39,55.91,Ing Ricardo,En uso
25/11/2025,1.56,2.36,56.31,Ing Ricardo,En uso
25/11/2025,1.58,2.37,57.44,Ing Ricardo,En uso
25/11/2025,1.68,2.39,57.47,Ing Ricardo,En reposo
25/11/2025,1.58,2.41,57.87,Ing Ricardo,En reposo
25/11/2025,1.6,2.43,58.47,Ing Ricardo,En reposo
25/11/2025,1.62,2.45,58.88,Ing Ricardo,En reposo
