fecha,magnitudVibracion,corriente,tiempo,operador,estadoMaquina
25/11/2025,1.58,0.77,0.82,Ing Ricardo,En reposo
25/11/2025,1.57,0.78,1.34,Ing Ricardo,En reposo
25/11/2025,1.56,0.79,1.65,Ing Ricardo,En reposo
25/11/2025,1.57,0.79,2.06,Ing Ricardo,En reposo
25/11/2025,1.61,0.8,2.58,Ing Ricardo,En reposo
25/11/2025,1.57,0.8,3.08,Ing Ricardo,En reposo
25/11/2025,1.59,0.82,3.49,Ing Ricardo,En reposo
25/11/2025,1.6,0.83,4.21,Ing Ricardo,En reposo
25/11/2025,1.6,0.84,4.73,Ing Ricardo,En reposo
25/11/2025,1.55,0.85,5.13,Ing Ricardo,En reposo
25/11/2025,1.56,0.86,5.54,Ing Ricardo,En reposo
25/11/2025,1.58,0.86,6.15,Ing Ricardo,En reposo
25/11/2025,1.61,0.87,6.56,Ing Ricardo,En reposo
25/11/2025,1.56,0.85,6.97,Ing Ricardo,En reposo
25/11/2025,1.56,0.84,7.69,Ing Ricardo,En reposo
25/11/2025,1.6,0.83,8.20,Ing Ricardo,En reposo
25/11/2025,1.58,0.83,8.81,Ing Ricardo,En reposo
25/11/2025,1.6,0.83,9.13,Ing Ricardo,En reposo
25/11/2025,1.53,0.86,9.63,Ing Ricardo,En reposo
25/11/2025,1.54,0.9,10.04,Ing Ricardo,En reposo
25/11/2025,1.59,0.99,10.55,Ing Ricardo,En reposo
25/11/2025,1.54,1.18,11.28,Ing Ricardo,En reposo
25/11/2025,1.55,1.31,11.78,Ing Ricardo,En reposo
25/11/2025,1.55,1.48,12.72,Ing Ricardo,En reposo
25/11/2025,1.59,1.54,13.11,Ing Ricardo,En reposo
25/11/2025,1.56,1.58,13.62,Ing Ricardo,En reposo
25/11/2025,1.56,1.61,14.03,Ing Ricardo,En reposo
25/11/2025,1.59,1.62,14.86,Ing Ricardo,En reposo
25/11/2025,1.51,1.64,15.05,Ing Ricardo,En reposo
25/11/2025,1.6,1.65,15.58,Ing Ricardo,En reposo
25/11/2025,1.59,1.66,16.49,Ing Ricardo,En reposo
25/11/2025,1.59,1.68,16.79,Ing Ricardo,En reposo
25/11/2025,1.59,1.69,17.10,Ing Ricardo,En reposo
25/11/2025,1.66,1.71,17.51,Ing Ricardo,En reposo
25/11/2025,1.61,1.72,18.02,Ing Ricardo,En reposo
25/11/2025,1.61,1.73,18.53,Ing Ricardo,En reposo
25/11/2025,1.7,1.74,19.26,Ing Ricardo,En reposo
25/11/2025,1.52,1.95,19.66,Ing Ricardo,En reposo
25/11/2025,1.62,2.14,20.17,Ing Ricardo,En reposo
25/11/2025,1.57,2.35,20.48,Ing Ricardo,En reposo
25/11/2025,1.64,2.46,20.99,Ing Ricardo,En reposo
25/11/2025,1.57,2.56,21.61,Ing Ricardo,En reposo
25/11/2025,1.59,2.67,22.12,Ing Ricardo,En reposo
25/11/2025,1.58,2.76,22.63,Ing Ricardo,En reposo
25/11/2025,1.73,2.85,23.24,Ing Ricardo,En reposo
25/11/2025,1.64,2.91,23.67,Ing Ricardo,En reposo
25/11/2025,1.62,2.96,24.27,Ing Ricardo,En reposo
25/11/2025,1.49,2.99,24.58,Ing Ricardo,En reposo
25/11/2025,1.59,3.03,25.60,Ing Ricardo,En reposo
25/11/2025,1.55,3.05,26.31,Ing Ricardo,En reposo
25/11/2025,1.69,3.09,26.82,Ing Ricardo,En reposo
25/11/2025,1.65,3.12,27.34,Ing Ricardo,En reposo
25/11/2025,1.52,3.16,27.64,Ing Ricardo,En reposo
25/11/2025,1.53,3.19,28.16,Ing Ricardo,En uso
25/11/2025,1.76,3.21,28.56,Ing Ricardo,En uso
25/11/2025,1.69,3.24,29.18,Ing Ricardo,En uso
25/11/2025,1.64,3.15,29.69,Ing Ricardo,En uso
25/11/2025,1.55,3.03,30.30,Ing Ricardo,En uso
25/11/2025,1.49,2.75,30.52,Ing Ricardo,En uso
25/11/2025,1.59,2.2,31.02,Ing Ricardo,En uso
25/11/2025,1.69,1.81,31.52,Ing Ricardo,En uso
25/11/2025,1.6,1.32,32.59,Ing Ricardo,En uso
25/11/2025,1.58,1.17,33.17,Ing Ricardo,En uso
25/11/2025,1.58,1.05,33.70,Ing Ricardo,En uso
25/11/2025,1.66,0.97,34.71,Ing Ricardo,En uso
25/11/2025,1.7,0.88,34.73,Ing Ricardo,En uso
25/11/2025,1.58,0.81,35.22,Ing Ricardo,En uso
25/11/2025,1.47,0.76,35.83,Ing Ricardo,En uso
25/11/2025,1.51,0.73,36.24,Ing Ricardo,En uso
25/11/2025,1.61,0.71,36.49,Ing Ricardo,En uso
25/11/2025,1.68,0.7,37.07,Ing Ricardo,En uso
25/11/2025,1.68,0.7,37.68,Ing Ricardo,En uso
25/11/2025,1.68,0.69,38.15,Ing Ricardo,En uso
25/11/2025,1.61,0.69,38.50,Ing Ricardo,En uso
25/11/2025,1.54,0.67,39.01,Ing Ricardo,En uso
25/11/2025,1.7,0.64,39.73,Ing Ricardo,En uso
25/11/2025,1.58,0.62,40.33,Ing Ricardo,En uso
25/11/2025,1.64,0.61,40.55,Ing Ricardo,En uso
25/11/2025,1.56,0.58,41.42,Ing Ricardo,En uso
