inicio_falla,fin_falla,inicio_reparacion,fin_reparacion,piezas_ok,piezas_defectuosas,tiempo_operativo,tiempo_total
01/11/2025 7:40,01/11/2025 8:25,01/11/2025 8:38,01/11/2025 9:08,1080,33,7.07,8
02/11/2025 9:55,02/11/2025 10:35,02/11/2025 10:45,02/11/2025 11:20,995,47,6.83,8
03/11/2025 10:30,03/11/2025 11:10,03/11/2025 11:25,03/11/2025 12:05,1145,29,6.83,8
04/11/2025 8:18,04/11/2025 9:08,04/11/2025 9:15,04/11/2025 9:45,940,50,7,8
05/11/2025 11:50,05/11/2025 12:45,05/11/2025 12:50,05/11/2025 13:25,1010,59,6.67,8
06/11/2025 9:10,06/11/2025 9:50,06/11/2025 10:00,06/11/2025 10:40,1180,22,6.92,8
07/11/2025 7:05,07/11/2025 7:45,07/11/2025 7:52,07/11/2025 8:22,1060,40,7.1,8
08/11/2025 10:00,08/11/2025 11:00,08/11/2025 11:15,08/11/2025 11:45,960,35,6.83,8
09/11/2025 8:45,09/11/2025 9:15,09/11/2025 9:20,09/11/2025 10:05,1110,51,7,8
10/11/2025 7:25,10/11/2025 8:10,10/11/2025 8:25,10/11/2025 8:55,1000,20,6.92,8
