x,y,z,corriente,tiempo,operador
0.28,-0.44,-0.91,NaN,0.56,
0.26,-0.44,-0.88,NaN,2.05,
0.29,-0.44,-0.87,1.12,2.74,
0.28,-0.44,-0.91,1.12,2.85,
0.28,-0.44,-0.91,1.14,3.43,
0.29,-0.44,-0.88,1.14,4.25,
0.28,-0.44,-0.91,1.14,4.45,
0.28,-0.44,-0.89,1.17,5.27,
0.28,-0.44,-0.9,1.18,5.97,
0.28,-0.43,-0.88,1.19,6.61,
0.28,-0.44,-0.91,1.17,7.02,
0.26,-0.45,-0.9,1.15,7.15,
0.28,-0.44,-0.91,1.14,7.67,
0.29,-0.44,-0.88,1.13,8.45,
0.26,-0.44,-0.88,1.12,8.70,
0.28,-0.44,-0.88,1.11,9.57,
0.28,-0.44,-0.91,1.11,9.78,
0.3,-0.41,-0.88,1.13,10.01,
0.29,-0.44,-0.88,1.13,10.57,
0.26,-0.47,-0.91,1.13,11.31,
0.25,-0.44,-0.91,1.14,11.73,
0.25,-0.44,-0.88,1.18,12.28,
0.21,-0.4,-0.87,1.25,13.02,
0.24,-0.48,-0.91,1.33,13.34,
0.33,-0.43,-0.83,1.38,13.77,
0.33,-0.4,-0.87,1.47,14.07,
0.21,-0.39,-0.92,1.58,15.07,
0.26,-0.49,-0.88,1.65,15.08,
0.12,-0.48,-0.91,1.72,15.98,
0.15,-0.36,-0.91,1.75,15.98,
0.28,-0.48,-0.88,1.78,16.84,
0.41,-0.45,-0.86,1.8,17.25,
0.42,-0.45,-0.89,1.8,17.56,
0.38,-0.4,-0.88,1.79,18.38,
0.24,-0.51,-0.95,1.77,18.64,
0.17,-0.45,-0.91,1.77,19.71,
0.12,-0.45,-0.94,1.75,20.09,
0.19,-0.36,-0.87,1.74,20.53,
0.29,-0.47,-0.87,1.74,20.94,
0.41,-0.48,-0.84,1.74,21.18,
0.38,-0.44,-0.92,1.74,21.86,
0.33,-0.45,-0.95,1.71,22.68,
0,-0.47,-1.08,1.76,23.09,
0.51,-0.54,-1.25,1.85,23.60,
0.37,-0.87,-0.91,1.96,24.12,
0.69,-0.4,-0.65,2.07,24.45,
0.81,-0.57,-0.48,2.17,24.83,
0.16,-0.39,-0.53,2.24,25.14,
-0.4,-0.4,-0.9,2.32,25.90,
-0.05,-0.04,-1.26,2.39,26.00,
0.46,-0.36,-1.26,2.46,26.47,
0.59,-0.75,-1.09,2.55,27.29,
0.45,-0.83,-0.96,2.61,27.59,
0.03,-0.28,-0.88,2.65,28.12,
0.42,-0.39,-0.74,2.7,28.82,
0.65,-0.49,-0.57,2.72,29.25,
0.29,-0.35,-0.43,2.75,29.85,
-0.36,-0.09,-1.08,2.76,30.26,
-0.44,0.04,-1.22,2.77,30.50,
0.38,-0.23,-1.27,2.79,31.28,
0.54,-0.5,-1.26,2.82,31.94,
0.38,-0.82,-0.92,2.82,32.42,
0.15,-0.57,-0.95,2.7,32.82,
0.47,-0.36,-0.82,2.51,33.02,
0.64,-0.56,-0.65,2.25,33.41,
0.28,-0.36,-0.53,2.09,34.10,
-0.23,-0.36,-0.87,1.97,34.97,
-0.45,-0.13,-1.08,1.88,35.19,
-0.13,-0.1,-1.22,1.81,35.68,
0.54,-0.78,-1.05,1.77,36.39,
0.45,-0.79,-0.96,1.74,36.81,
0.25,-0.75,-0.92,1.71,37.12,
0.28,-0.32,-0.83,1.69,37.95,
0.72,-0.48,-0.57,1.65,38.45,
0.43,-0.43,-0.41,1.53,38.86,
-0.14,-0.49,-0.79,1.41,39.26,
-0.37,-0.23,-1.05,1.33,40.09,
0.45,-0.47,-1.18,1.28,40.28,
0.59,-0.66,-1.08,1.24,40.50,
0.51,-0.91,-0.96,1.21,40.96,
0.3,-0.86,-0.95,1.19,41.73,
0.5,-0.4,-0.74,1.21,42.86,
0.67,-0.48,-0.65,1.22,42.87,
0.72,-0.57,-0.48,1.23,43.27,
0.08,-0.4,-0.49,1.24,43.88,
-0.44,0,-1.17,1.24,44.29,
-0.22,-0.05,-1.23,1.29,44.95,
0.45,-0.39,-1.25,1.57,45.41,
0.62,-0.61,-1.12,2.08,45.82,
0.28,-0.78,-0.91,2.76,46.02,
0.2,-0.52,-0.82,3.27,47.98,
0.2,-0.39,-0.83,3.63,47.98,
0.19,-0.39,-0.78,3.88,47.98,
0.45,-0.37,-0.41,4.08,48.24,
0.29,-0.45,-0.48,4.23,49.10,
0.11,-0.32,-0.54,4.39,49.10,
-0.24,-0.26,-1.01,4.52,49.76,
0.26,-0.27,-1.23,4.62,50.53,
0.45,-0.44,-1.22,4.71,50.83,
0.6,-0.65,-1.12,4.77,51.25,
0.43,-0.88,-1,4.86,51.61,
0.11,-0.52,-0.92,4.93,52.27,
0.17,-0.4,-0.84,4.99,53.04,
0.55,-0.47,-0.69,5.04,53.04,
0.68,-0.58,-0.61,5.09,53.81,
-0.01,-0.35,-0.74,5.13,54.53,
-0.48,-0.35,-0.99,5.18,54.95,
-0.4,-0.06,-1.18,5.16,55.21,
0.17,-0.18,-1.3,4.93,55.63,
0.51,-0.75,-1.01,4.3,56.34,
0.47,-0.92,-0.99,3.67,56.78,
0.33,-0.74,-0.91,2.97,57.37,
0.19,-0.4,-0.8,2.48,57.80,
0.68,-0.49,-0.54,2.32,58.11,
0.55,-0.39,-0.53,2.57,58.93,
-0.22,-0.41,-0.7,3.12,59.34,
-0.32,-0.3,-1.09,3.7,59.75,
0.62,-0.71,-0.69,4.23,60.36,
0.42,-0.44,-0.79,4.61,60.67,
0.33,-0.48,-0.95,4.87,61.59,
0.16,-0.47,-0.96,5.01,62.02,
0.29,-0.48,-0.91,5.1,62.31,
0.19,-0.43,-0.91,5.17,62.72,
0.19,-0.43,-0.87,5.21,63.34,
0.24,-0.53,-0.88,5.23,63.74,
0.32,-0.45,-0.9,5.25,64.26,
0.3,-0.45,-0.96,5.24,64.50,
0.29,-0.52,-0.88,5.19,65.49,
0.24,-0.49,-0.92,5.14,66.10,
0.3,-0.45,-0.9,5.09,66.41,
0.24,-0.48,-0.87,5.05,66.89,
0.21,-0.48,-0.95,4.97,67.12,
0.25,-0.43,-0.91,4.92,68.20,
0.25,-0.47,-0.91,4.88,68.21,
0.25,-0.45,-0.91,4.78,68.91,
0.25,-0.45,-0.91,4.44,69.38,
