x,y,z,corriente,tiempo,operador
0.24,-0.48,-0.95,1.18,0.44,
0.24,-0.49,-0.92,1.18,0.45,
0.24,-0.48,-0.92,1.19,1.01,
0.24,-0.49,-0.92,1.21,1.63,
0.21,-0.49,-0.92,1.25,1.94,
0.24,-0.49,-0.92,1.24,2.65,
0.24,-0.48,-0.92,1.23,2.96,
0.21,-0.49,-0.95,1.22,3.88,
0.21,-0.49,-0.93,1.2,4.19,
0.21,-0.48,-0.92,1.17,4.34,
0.22,-0.48,-0.92,1.15,4.74,
0.21,-0.48,-0.93,1.15,5.42,
0.21,-0.49,-0.92,1.13,5.83,
0.21,-0.49,-0.92,1.11,6.64,
0.24,-0.48,-0.92,1.12,6.97,
0.21,-0.48,-0.92,1.12,7.67,
0.21,-0.48,-0.92,1.14,7.97,
0.21,-0.48,-0.92,1.16,8.33,
0.24,-0.48,-0.92,1.18,8.90,
0.21,-0.49,-0.94,1.24,9.51,
0.22,-0.47,-0.94,1.26,10.54,
0.21,-0.49,-0.95,1.28,10.95,
0.25,-0.48,-0.91,1.29,10.95,
0.24,-0.48,-0.93,1.27,11.57,
0.25,-0.5,-0.92,1.25,11.97,
0.24,-0.48,-0.92,1.25,12.64,
0.25,-0.44,-0.92,1.26,12.73,
0.25,-0.49,-0.95,1.24,13.51,
0.24,-0.47,-0.96,1.22,14.13,
0.2,-0.4,-0.91,1.21,14.34,
0.25,-0.44,-0.95,1.2,14.81,
0.15,-0.52,-0.97,1.2,15.66,
0.24,-0.49,-0.94,1.2,15.97,
0.21,-0.49,-0.95,1.2,16.48,
0.29,-0.41,-0.92,1.17,17.40,
0.21,-0.53,-0.91,1.15,17.70,
0.16,-0.53,-0.92,1.1,18.07,
0.16,-0.48,-0.9,1.07,18.38,
0.2,-0.5,-0.95,1.08,19.00,
0.25,-0.52,-0.92,1.06,19.33,
0.29,-0.53,-0.96,1.05,20.02,
0.29,-0.48,-0.92,1.04,20.40,
0.28,-0.49,-0.95,1.05,21.11,
0.64,-0.54,-0.49,1.06,21.49,
-0.4,-0.23,-0.75,1.07,21.91,
-0.31,-0.23,-1.17,1.06,22.62,
0.43,-0.43,-1.27,1.05,23.26,
0.45,-0.73,-1.13,1.1,23.55,
0.3,-0.75,-1,1.14,24.20,
0.26,-0.66,-0.69,1.15,24.29,
0.64,-0.48,-0.69,1.18,25.12,
0.54,-0.23,-0.71,1.19,25.60,
-0.06,-0.3,-0.71,1.2,25.87,
-0.43,-0.31,-0.83,1.25,26.45,
-0.27,-0.36,-1.18,1.33,27.34,
0.37,-0.48,-1.3,1.39,27.36,
0.42,-0.52,-1.27,1.45,27.98,
0.37,-0.65,-1.13,1.49,28.97,
0.49,-0.66,-0.62,1.5,28.97,
0.5,-0.7,-0.7,1.48,29.71,
