x,y,z,corriente,tiempo
0.63,1.63,-2.82,,0.07
0.63,1.63,-2.82,,0.49
0.64,1.65,-2.84,,1.01
0.63,1.63,-2.81,,1.51
0.64,1.66,-2.84,,2.02
0.63,1.63,-2.81,,2.53
0.63,1.66,-2.81,,3.04
0.64,1.63,-2.81,,3.56
0.63,1.66,-2.81,,4.02
0.63,1.65,-2.81,,4.58
0.64,1.66,-2.81,,4.99
0.63,1.66,-2.81,,5.51
0.63,1.63,-2.81,,6.12
0.64,1.66,-2.81,,6.63
0.64,1.66,-2.81,,7.14
0.63,1.63,-2.81,,7.55
0.63,1.66,-2.81,,8.06
0.63,1.63,-2.81,,8.57
0.63,1.65,-2.81,,8.97
0.63,1.66,-2.81,,9.70
0.64,1.65,-2.81,,10.21
0.63,1.65,-2.81,,10.62
0.63,1.66,-2.81,,11.03
0.63,1.66,-2.81,,11.55
0.64,1.66,-2.81,,12.05
0.63,1.66,-2.82,,12.47
0.64,1.62,-2.81,,13.08
0.63,1.66,-2.81,,13.46
0.63,1.63,-2.81,,14.00
0.63,1.65,-2.81,,14.51
0.64,1.63,-2.81,,15.13
0.63,1.66,-2.81,,15.54
0.64,1.66,-2.81,,16.05
0.63,1.66,-2.81,,16.54
0.64,1.63,-2.81,,16.97
0.63,1.65,-2.81,,17.59
0.68,1.58,-2.97,,18.01
0.55,1.63,-2.84,,18.51
0.64,1.62,-2.84,,19.02
0.63,1.67,-2.85,,19.54
0.63,1.66,-2.8,,20.04
0.59,1.7,-2.77,,20.55
0.63,1.66,-2.85,,21.06
0.58,1.62,-2.86,,21.49
0.54,1.67,-2.8,,21.99
0.6,1.66,-2.84,,22.49
0.54,1.67,-2.8,,23.01
0.54,1.71,-2.77,,23.52
0.51,1.72,-2.8,,24.04
0.59,1.66,-2.85,,24.55
0.64,1.61,-2.85,,25.06
0.64,1.66,-2.85,,25.57
0.79,1.58,-2.86,,26.08
0.67,1.61,-2.82,,26.49
0.72,1.61,-2.8,,27.03
0.63,1.66,-2.76,,27.60
0.64,1.66,-2.85,,27.97
0.67,1.62,-2.8,,28.54
0.64,1.63,-2.81,,28.96
0.63,1.65,-2.8,,29.65
0.63,1.63,-2.8,,30.23
0.63,1.63,-2.81,,30.50
0.64,1.63,-2.81,,30.98
0.63,1.65,-2.81,,31.49
0.63,1.63,-2.81,,32.10
0.64,1.63,-2.81,,32.53
0.63,1.65,-2.81,,33.03
0.63,1.63,-2.8,,33.54
0.64,1.65,-2.81,,33.96
0.63,1.65,-2.81,,34.57
0.63,1.65,-2.81,,34.98
0.63,1.66,-2.81,,35.59
0.63,1.63,-2.81,,36.00
0.63,1.65,-2.81,,36.51
0.63,1.65,-2.81,,37.02
0.63,1.66,-2.81,,37.53
0.63,1.63,-2.81,,38.04
0.63,1.66,-2.81,,38.56
0.63,1.65,-2.81,,38.98
0.63,1.66,-2.81,,39.48
0.63,1.66,-2.81,,39.99
0.63,1.65,-2.81,,40.51
0.63,1.66,-2.81,,41.02
0.63,1.65,-2.84,,41.53
0.64,1.63,-2.81,,42.00
0.63,1.63,-2.81,,42.55
0.63,1.63,-2.82,,43.06
0.63,1.63,-2.81,,43.58
0.63,1.66,-2.81,,43.99
0.63,1.66,-2.81,,44.50
0.63,1.63,-2.81,,45.01
0.63,1.65,-2.81,,45.52
0.63,1.65,-2.82,,46.03
0.63,1.65,-2.81,,46.55
0.63,1.63,-2.81,,47.07
0.63,1.66,-2.81,,47.47
0.63,1.66,-2.81,,48.08
0.63,1.65,-2.81,,48.49
0.63,1.66,-2.81,,49.11
0.63,1.65,-2.81,,49.52
0.63,1.66,-2.81,,50.02
0.64,1.66,-2.81,,50.45
0.63,1.63,-2.81,,50.97
0.63,1.63,-2.81,,51.53
0.63,1.63,-2.81,,52.08
0.63,1.63,-2.81,,52.49
0.59,1.67,-2.81,,53.00
0.72,1.66,-2.98,,53.51
0.76,1.66,-2.86,,54.02
0.68,1.66,-2.79,,54.53
0.64,1.66,-2.81,,55.05
0.59,1.65,-2.79,,55.56
0.67,1.65,-2.8,,55.97
0.6,1.65,-2.81,,56.48
0.6,1.65,-2.81,,56.99
0.6,1.63,-2.81,,57.50
0.64,1.63,-2.81,,58.02
0.64,1.63,-2.81,,58.53
0.63,1.66,-2.81,,59.14
0.63,1.63,-2.81,,59.46
0.63,1.65,-2.81,,60.06
0.63,1.63,-2.81,,60.68
0.64,1.66,-2.81,,61.09
0.63,1.65,-2.81,,61.51
0.63,1.63,-2.81,,62.01
0.63,1.66,-2.81,,62.53
0.64,1.63,-2.81,,63.05
0.63,1.66,-2.81,,63.55
0.62,1.65,-2.81,,64.06
0.64,1.63,-2.81,,64.58
0.63,1.63,-2.81,,65.08
0.67,1.61,-2.84,,65.67
0.67,1.61,-2.84,,66.00
0.64,1.65,-2.82,,66.61
0.64,1.63,-2.84,,67.03
0.63,1.63,-2.81,,67.66
0.63,1.66,-2.81,,68.03
0.63,1.65,-2.81,,68.51
0.63,1.65,-2.84,,69.07
0.63,1.65,-2.84,,69.59
0.63,1.65,-2.81,,70.10
0.63,1.63,-2.81,,70.51
0.63,1.63,-2.81,,71.02
0.63,1.63,-2.84,,71.53
0.62,1.65,-2.84,,71.95
0.63,1.66,-2.81,,72.56
0.63,1.66,-2.81,,73.27
0.64,1.63,-2.84,,73.58
0.63,1.66,-2.82,,74.09
0.63,1.63,-2.81,,74.50
0.63,1.63,-2.82,,75.02
0.63,1.65,-2.81,,75.53
0.62,1.63,-2.81,,76.04
0.64,1.63,-2.81,,76.54
0.64,1.66,-2.81,,77.06
0.62,1.66,-2.81,,77.58
0.62,1.66,-2.84,,77.99
0.63,1.66,-2.82,,78.50
0.63,1.66,-2.81,,79.00
0.63,1.65,-2.81,,79.52
0.72,1.62,-2.86,,79.94
0.63,1.61,-2.8,,80.44
0.59,1.67,-2.8,,80.98
0.64,1.63,-2.85,,81.57
0.59,1.66,-2.8,,82.09
0.55,1.67,-2.77,,82.59
0.6,1.66,-2.77,,83.00
0.56,1.67,-2.8,,83.51
0.54,1.67,-2.81,,83.94
0.65,1.59,-2.81,,84.54
0.67,1.62,-2.85,,85.05
0.67,1.62,-2.85,,85.47
0.63,1.7,-2.81,,85.97
0.8,1.71,-2.85,,86.48
0.8,1.62,-2.88,,87.02
0.54,1.79,-2.76,,87.51
0.63,1.66,-2.81,,88.02
0.55,1.67,-2.81,,88.54
0.6,1.67,-2.81,,89.04
0.58,1.66,-2.8,,89.55
0.58,1.74,-2.8,,89.96
0.55,1.66,-2.88,,90.56
0.64,1.62,-2.85,,91.18
0.67,1.62,-2.88,,91.48
0.59,1.62,-2.84,,92.00
0.5,1.71,-2.77,,92.51
0.68,1.7,-2.76,,93.02
0.54,1.63,-2.85,,93.43
0.73,1.55,-2.86,,94.05
0.59,1.67,-2.81,,94.56
0.72,1.63,-2.86,,94.97
0.67,1.59,-2.85,,95.58
0.54,1.66,-2.8,,95.99
0.54,1.63,-2.81,,96.50
0.58,1.63,-2.85,,97.00
0.72,1.58,-2.82,,97.53
0.76,1.56,-2.84,,98.04
0.6,1.66,-2.84,,98.56
0.6,1.66,-2.8,,98.98
0.63,1.63,-2.81,,99.57
0.64,1.63,-2.84,,99.98
0.64,1.66,-2.8,,100.50
0.62,1.63,-2.81,,101.01
0.64,1.63,-2.81,,101.52
0.67,1.63,-2.81,,102.03
0.62,1.63,-2.81,,102.54
0.59,1.66,-2.81,,102.95
0.63,1.63,-2.81,,103.47
0.63,1.66,-2.81,,103.98
0.63,1.63,-2.8,,104.45
0.8,1.37,-2.86,,105.00
0.67,1.66,-2.8,,105.52
0.63,1.66,-2.84,,106.03
0.63,1.62,-2.89,,106.54
0.59,1.62,-2.81,,107.05
0.64,1.66,-2.86,,107.56
0.67,1.63,-2.88,,107.98
0.63,1.65,-2.84,,108.59
0.59,1.67,-2.81,,109.00
0.66,1.66,-2.85,,109.51
0.84,1.57,-2.85,,110.02
0.64,1.66,-2.81,,110.47
0.63,1.62,-2.81,,111.05
0.77,1.53,-2.86,,111.45
0.77,1.58,-2.8,,111.97
0.63,1.71,-2.81,,112.49
0.49,1.75,-2.84,,113.09
0.62,1.61,-2.81,,113.51
0.84,1.62,-2.85,,114.01
0.68,1.57,-2.84,,114.53
0.47,1.78,-2.84,,115.04
0.64,1.49,-2.85,,115.45
0.12,1.87,-2.76,,115.96
0.46,1.76,-2.77,,116.56
0.68,1.67,-2.77,,116.99
0.76,1.59,-2.81,,117.50
0.82,1.54,-2.85,,118.01
0.71,1.62,-2.86,,118.52
0.76,1.46,-2.84,,119.12
0.59,1.5,-2.84,,119.54
