x,y,z,corriente,tiempo,operador
,,,0,0.33,
0.17,-0.37,-0.11,,0.64,
,,,0,1.06,
0.16,-0.36,-0.1,,1.06,
,,,0,1.36,
0.16,-0.36,-0.1,,1.36,
,,,0,1.67,
0.17,-0.36,-0.11,,1.88,
,,,0,2.18,
0.16,-0.36,-0.1,,2.39,
,,,0,2.69,
0.16,-0.36,-0.11,,3.11,
,,,0,3.49,
0.16,-0.39,-0.1,,3.49,
,,,0,3.66,
0.16,-0.36,-0.1,,3.92,
,,,0,4.23,
0.16,-0.36,-0.1,,4.54,
,,,0,4.74,
0.17,-0.37,-0.13,,5.14,
,,,0,5.36,
0.16,-0.36,-0.11,,5.36,
,,,0,5.67,
0.16,-0.36,-0.11,,5.98,
,,,0,6.28,
0.16,-0.36,-0.1,,6.58,
,,,0,6.79,
0.16,-0.39,-0.1,,6.79,
,,,0,7.30,
0.17,-0.37,-0.11,,7.51,
,,,0,7.71,
0.16,-0.39,-0.11,,7.92,
,,,0,8.22,
0.16,-0.36,-0.1,,8.43,
,,,0,8.65,
0.17,-0.36,-0.1,,8.84,
,,,0,9.25,
0.16,-0.39,-0.11,,9.55,
,,,0,9.68,
0.17,-0.37,-0.11,,9.86,
0.17,-0.37,-0.11,,10.27,
,,,0,10.47,
,,,0,10.68,
0.17,-0.39,-0.11,,10.78,
0.15,-0.4,-0.1,,11.29,
,,,0,11.81,
,,,0,11.81,
0.15,-0.36,-0.11,,11.81,
0.17,-0.39,-0.11,,12.22,
,,,0,12.52,
0.16,-0.39,-0.1,,12.73,
,,,0,13.04,
,,,0,13.24,
0.15,-0.36,-0.11,,13.45,
,,,0,13.75,
0.16,-0.32,-0.1,,13.96,
,,,0,14.16,
0.2,-0.36,-0.13,,14.37,
,,,0,14.88,
0.15,-0.31,-0.07,,14.88,
,,,0,15.20,
0.13,-0.36,-0.09,,15.39,
,,,0.05,15.70,
0.17,-0.32,-0.13,,15.90,
,,,0.37,16.21,
0.11,-0.31,-0.14,,16.41,
,,,0.67,16.72,
0.12,-0.31,-0.1,,16.93,
,,,1.1,17.23,
0.25,-0.45,-0.14,,17.43,
,,,0,17.72,
0.17,-0.28,-0.1,,17.95,
,,,0,18.36,
0.19,-0.37,-0.09,,18.88,
,,,0,19.28,
0.2,-0.41,-0.1,,19.28,
,,,0,19.68,
0.17,-0.4,-0.06,,19.68,
,,,0,19.90,
0.11,-0.36,-0.1,,19.90,
,,,0,20.20,
0.08,-0.35,-0.1,,20.41,
,,,0,20.71,
0.12,-0.36,-0.13,,20.92,
,,,0,21.23,
0.24,-0.36,-0.19,,21.43,
0.24,-0.36,-0.13,,21.74,
,,,0,22.05,
,,,0,22.25,
0.17,-0.4,-0.11,,22.25,
,,,0,22.76,
0.17,-0.37,-0.1,,23.09,
,,,0,23.58,
0.12,-0.35,-0.11,,23.59,
,,,0,23.79,
0.04,-0.31,-0.06,,23.79,
,,,0,24.16,
0.11,-0.36,-0.1,,24.48,
,,,0,24.62,
0.19,-0.44,-0.1,,24.81,
,,,0,25.22,
0.19,-0.39,-0.14,,25.53,
,,,0,25.73,
0.19,-0.44,-0.06,,25.95,
,,,0,26.32,
0.12,-0.41,-0.09,,26.33,
,,,0,26.76,
0.33,-0.35,-0.18,,27.08,
0.2,-0.36,-0.14,,27.27,
,,,0,27.39,
,,,0,27.68,
0.25,-0.39,-0.14,,27.88,
,,,0,28.20,
0.2,-0.35,-0.13,,28.39,
,,,0,28.70,
0.11,-0.39,-0.06,,29.02,
,,,0,29.22,
0.1,-0.45,-0.09,,29.52,
,,,0,29.74,
0.11,-0.41,-0.07,,29.75,
,,,0,30.25,
0.11,-0.4,-0.11,,30.44,
,,,0,30.68,
0.2,-0.44,-0.14,,30.96,
,,,0,31.17,
0.21,-0.4,-0.14,,31.30,
,,,0,31.77,
0.25,-0.45,-0.18,,31.98,
,,,0,32.19,
0.21,-0.4,-0.11,,32.32,
,,,0,32.80,
0.11,-0.34,-0.09,,33.01,
,,,0,33.21,
0.12,-0.32,-0.1,,33.33,
,,,0,33.72,
0.19,-0.39,-0.06,,33.85,
,,,0,34.14,
0.19,-0.4,-0.06,,34.27,
,,,0,34.74,
0.08,-0.28,-0.06,,34.96,
,,,0,35.15,
0.11,-0.44,-0.09,,35.36,
,,,0,35.67,
0.24,-0.45,-0.1,,35.82,
,,,0,36.18,
0.15,-0.26,-0.15,,36.51,
,,,0,36.62,
0.17,-0.48,-0.14,,36.72,
,,,0,37.30,
0.08,-0.19,-0.09,,37.51,
,,,0,37.72,
0.07,-0.15,-0.1,,37.91,
,,,0,38.13,
0.12,-0.4,-0.1,,38.24,
,,,0,38.74,
0.19,-0.35,-0.09,,38.94,
,,,0,39.25,
0.21,-0.53,-0.14,,39.45,
,,,0,39.76,
0.2,-0.43,-0.15,,39.97,
,,,0,40.38,
0.25,-0.39,-0.14,,40.58,
,,,0,40.77,
0.21,-0.28,-0.17,,40.99,
,,,0,41.30,
0.24,-0.39,-0.1,,41.50,
,,,0,41.81,
0.17,-0.34,-0.1,,41.81,
,,,0,42.22,
0.16,-0.35,-0.09,,42.43,
,,,0,42.73,
0.15,-0.4,-0.09,,42.93,
,,,0,43.35,
0.12,-0.27,-0.11,,43.35,
,,,0,43.65,
0.2,-0.44,-0.1,,43.96,
,,,0,44.27,
0.12,-0.4,-0.1,,44.47,
,,,0,44.78,
0.08,-0.4,-0.07,,44.95,
,,,0,45.30,
0.11,-0.45,-0.13,,45.30,
,,,0,45.70,
0.16,-0.36,-0.1,,45.91,
,,,0,46.17,
0.12,-0.43,-0.11,,47.03,
,,,0,47.04,
0.19,-0.39,-0.14,,47.04,
