x,y,z,corriente,tiempo,operador
-0.1,0.04,-0.3,NaN,0.22,
-0.13,0.04,-0.28,0.81,0.45,
-0.11,0.04,-0.28,0.82,1.17,
-0.11,0.07,-0.3,0.82,1.79,
-0.13,0.04,-0.3,0.82,2.15,
-0.1,0.04,-0.3,0.82,2.50,
-0.11,0.04,-0.28,0.81,3.06,
-0.13,0.04,-0.31,0.81,5.58,
-0.13,0.04,-0.28,0.81,5.60,
-0.11,0.04,-0.3,0.8,5.62,
-0.11,0.04,-0.28,0.79,6.39,
-0.1,0.07,-0.31,0.79,6.40,
-0.13,0.04,-0.31,0.8,6.81,
-0.11,0.04,-0.3,0.81,7.52,
-0.13,0.04,-0.3,0.82,7.93,
-0.11,0.07,-0.27,0.83,8.70,
-0.11,0.04,-0.3,0.82,9.06,
-0.1,0.04,-0.3,0.81,9.77,
-0.1,0.07,-0.28,0.82,9.98,
-0.11,0.07,-0.3,0.81,10.39,
-0.1,0.04,-0.3,0.77,11.52,
-0.13,0.08,-0.27,0.74,11.53,
-0.14,0.04,-0.31,0.73,12.03,
-0.14,0.03,-0.32,0.72,12.95,
-0.11,0.07,-0.28,0.72,13.46,
-0.14,0.04,-0.27,0.72,14.07,
-0.11,0.07,-0.27,0.71,14.69,
-0.15,0.07,-0.27,0.71,15.10,
-0.11,0.08,-0.28,0.72,15.52,
-0.11,0.04,-0.3,0.73,16.84,
-0.11,0.04,-0.28,0.74,16.84,
-0.13,0.04,-0.3,0.75,17.04,
-0.11,0.04,-0.31,0.76,18.38,
-0.1,0.04,-0.31,0.77,18.38,
-0.06,0.03,-0.32,0.78,18.39,
-0.11,0.08,-0.27,0.79,19.19,
-0.09,0,-0.36,0.83,19.50,
-0.1,0.11,-0.26,0.85,20.22,
-0.14,-0.02,-0.36,0.86,20.50,
-0.11,0.04,-0.3,0.9,21.04,
-0.13,0.03,-0.32,0.93,22.07,
-0.09,0.04,-0.31,0.95,22.08,
-0.1,0.04,-0.3,0.96,22.78,
-0.1,0.04,-0.3,0.96,23.08,
-0.11,0.04,-0.31,0.96,23.61,
-0.1,0.07,-0.31,0.96,24.11,
-0.1,0.07,-0.27,0.96,24.42,
-0.1,0.03,-0.32,0.96,25.44,
-0.14,0,-0.35,0.96,26.05,
-0.14,0.07,-0.31,0.95,26.67,
-0.1,0.04,-0.28,0.93,27.09,
-0.1,0.07,-0.3,0.92,27.59,
-0.14,0.04,-0.28,0.91,28.21,
-0.1,0.04,-0.31,0.9,28.42,
-0.11,0.04,-0.28,0.89,29.03,
-0.1,0.04,-0.28,0.85,29.44,
-0.11,0.07,-0.28,0.86,30.46,
-0.1,0.07,-0.28,0.85,30.97,
-0.11,0.04,-0.3,0.84,31.69,
-0.1,0.04,-0.3,0.83,32.20,
-0.11,0.07,-0.28,0.82,32.49,
-0.1,0.04,-0.28,0.82,33.23,
-0.1,0.04,-0.28,0.94,33.43,
-0.13,0.07,-0.27,1.46,34.05,
-0.1,0.04,-0.3,1.83,34.64,
-0.1,0.04,-0.31,2.09,35.07,
-0.11,0.04,-0.3,2.27,35.68,
-0.11,0.04,-0.3,2.4,36.09,
